_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,55847,12613,98,3.5,8.12,2.56
2,Not Hispanic or Latino,667868,61430,1914,41.89,39.57,49.96
3,Unknown,870650,81203,1819,54.61,52.31,47.48
