_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,76752,20973,128,3.7,7.1,2.54
2,Not Hispanic or Latino,926674,136566,2591,44.71,46.24,51.41
3,Unknown,1069264,137818,2321,51.59,46.66,46.05
