_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,23392,6641,54,3.45000000000000017763568394002504646778106689453125,10.96000000000000085265128291212022304534912109375,2.0099999999999997868371792719699442386627197265625
2,Not Hispanic or Latino,268535,20688,1404,39.56000000000000227373675443232059478759765625,34.1400000000000005684341886080801486968994140625,52.25
3,Unknown,386822,33269,1229,56.99000000000000198951966012828052043914794921875,54.89999999999999857891452847979962825775146484375,45.74000000000000198951966012828052043914794921875
