_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,41070,9207,69,3.55,9.07,2.17
2,Not Hispanic or Latino,488178,37549,1625,42.16,37.0,51.21
3,Unknown,628770,54729,1479,54.3,53.93,46.61
