_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,57968,13292,101,3.52,7.98,2.55
2,Not Hispanic or Latino,694331,67150,1978,42.17,40.31,49.97
3,Unknown,894243,86122,1879,54.31,51.71,47.47
