_id,ETHNICITY,COVID_COUNT,COVID_DEATHS,COVID_TEST,COVID_COUNT_PCT,COVID_DEATHS_PCT,COVID_TEST_PCT
1,Hispanic or Latino,5202,46,15588,11.5,1.8899999999999999023003738329862244427204132080078125,3.270000000000000017763568394002504646778106689453125
2,Not Hispanic or Latino,15076,1299,178151,33.3299999999999982946974341757595539093017578125,53.409999999999996589394868351519107818603515625,37.3900000000000005684341886080801486968994140625
3,Unknown,24950,1087,282780,55.159999999999996589394868351519107818603515625,44.7000000000000028421709430404007434844970703125,59.340000000000003410605131648480892181396484375
