_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,44477,9832,74,3.42,8.82,2.26
2,Not Hispanic or Latino,529220,41221,1670,40.65,36.97,50.9
3,Unknown,728243,60452,1537,55.94,54.21,46.85
