_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,37273,8763,66,3.53,9.48,2.15
2,Not Hispanic or Latino,437741,33694,1577,41.46,36.45,51.44
3,Unknown,580779,49977,1423,55.01,54.07,46.41
