_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,52484,11586,88,3.47,8.32,2.44
2,Not Hispanic or Latino,626884,53555,1811,41.49,38.45,50.18
3,Unknown,831692,74128,1710,55.04,53.23,47.38
