_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,50642,11115,85,3.46,8.45,2.41
2,Not Hispanic or Latino,603504,49662,1771,41.24,37.77,50.11
3,Unknown,809290,70716,1678,55.3,53.78,47.48
