_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,57591,13150,101,3.52,7.99,2.59
2,Not Hispanic or Latino,690332,66076,1950,42.14,40.15,49.91
3,Unknown,890309,85355,1856,54.35,51.86,47.5
