_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,32380,8145,63,3.47,9.89,2.12
2,Not Hispanic or Latino,379661,29453,1529,40.65,35.77,51.52
3,Unknown,521992,44738,1376,55.89,54.34,46.36
