_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,70751,18326,115,3.65,7.28,2.47
2,Not Hispanic or Latino,853524,113195,2372,44.03,44.99,50.9
3,Unknown,1014014,120076,2173,52.31,47.73,46.63
