_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,56792,12913,99,3.51,8.05,2.55
2,Not Hispanic or Latino,679955,63979,1940,42.02,39.87,49.97
3,Unknown,881584,83562,1843,54.47,52.08,47.48
