_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,66404,16391,114,3.61,7.47,2.54
2,Not Hispanic or Latino,799962,95508,2276,43.53,43.54,50.79
3,Unknown,971264,107439,2091,52.85,48.98,46.66
