_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,76080,20663,126,3.71,7.15,2.52
2,Not Hispanic or Latino,917551,133518,2563,44.69,46.17,51.34
3,Unknown,1059512,135002,2303,51.6,46.68,46.13
