_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,53322,11831,91,3.48,8.24,2.49
2,Not Hispanic or Latino,638226,55694,1832,41.63,38.81,50.14
3,Unknown,841401,75970,1731,54.89,52.94,47.37
