_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,54675,12237,97,3.49,8.2,2.6
2,Not Hispanic or Latino,653526,58426,1862,41.77,39.17,49.96
3,Unknown,856521,78503,1768,54.74,52.63,47.44
