_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,48690,10680,81,3.43,8.53,2.35
2,Not Hispanic or Latino,581425,46643,1735,41.0,37.27,50.33
3,Unknown,787948,67823,1631,55.57,54.2,47.32
