_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,67984,17085,114,3.62,7.4,2.5
2,Not Hispanic or Latino,818164,101819,2317,43.6,44.08,50.78
3,Unknown,990169,112061,2132,52.77,48.52,46.72
