_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,32310,8114,62,3.48,9.91,2.1
2,Not Hispanic or Latino,378300,29327,1525,40.74,35.83,51.62
3,Unknown,518004,44406,1367,55.78,54.25,46.28
