_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,61266,14372,105,3.56,7.76,2.53
2,Not Hispanic or Latino,735552,76949,2094,42.69,41.55,50.46
3,Unknown,926024,93864,1951,53.75,50.69,47.01
