_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,48393,10616,81,3.44,8.56,2.35
2,Not Hispanic or Latino,577278,46250,1733,40.99,37.28,50.35
3,Unknown,782804,67193,1628,55.58,54.16,47.3
