_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,63529,15287,111,3.57,7.61,2.58
2,Not Hispanic or Latino,767400,85659,2178,43.18,42.65,50.58
3,Unknown,946176,99877,2017,53.24,49.73,46.84
