_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,80005,22224,130,3.73,6.97,2.46
2,Not Hispanic or Latino,968378,149381,2736,45.13,46.84,51.67
3,Unknown,1097344,147289,2429,51.14,46.19,45.87
