_id,STATUS_TYPE,TOTAL
1,beds_all_occupied_beds_covid_19,913
2,beds_icu_total,2649
3,beds_icu_occupied_beds_covid_19,335
4,bed_occupied_icu_non_covid,1325
5,beds_available_icu_beds_total,989
6,vents_total,2988
7,vents_all_in_use_covid_19,133
8,vents_non_covid_pts_on_vents,383
9,vents_all_available_vents_not_in_use,2472
