_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Pos Difference
52,Miami,18103,241,678.5670000000000072759576141834259033203125,3,0.1448899999999999910205161768317339010536670684814453125,2,2.5,Orange (2 and 2.5),0.09113000000000000266897615119887632317841053009033203125,5.37600000000000033395508580724708735942840576171875
53,Monroe,18105,544,366.5,3,0.057320000000000002893241202173157944343984127044677734375,1,2,Orange (2 and 2.5),0.041390000000000003177458296477198018692433834075927734375,1.592999999999999971578290569595992565155029296875
54,Montgomery,18107,228,594.7100000000000363797880709171295166015625,3,0.09041000000000000424993373826509923674166202545166015625,1,2,Orange (2 and 2.5),0.06522999999999999631850045034298091195523738861083984375,2.51700000000000034816594052244909107685089111328125
55,Morgan,18109,319,452.5529999999999972715158946812152862548828125,3,0.09227000000000000479172257428217562846839427947998046875,1,2,Orange (2 and 2.5),0.0730800000000000060662586065518553368747234344482421875,1.9199999999999999289457264239899814128875732421875
56,Newton,18111,106,758.009000000000014551915228366851806640625,3,0.1873499999999999887645429907934158109128475189208984375,3,3,Red (3),0.2359300000000000008260059303211164660751819610595703125,-4.85799999999999965183405947755090892314910888671875
57,Noble,18113,415,869.2190000000000509317032992839813232421875,3,0.1295699999999999907362990825276938267052173614501953125,2,2.5,Orange (2 and 2.5),0.1165299999999999946975748343902523629367351531982421875,1.305000000000000159872115546022541821002960205078125
58,Ohio,18115,26,442.5529999999999972715158946812152862548828125,3,0.06855999999999999594546551406892831437289714813232421875,1,2,Orange (2 and 2.5),0.101959999999999995079491554861306212842464447021484375,-3.339999999999999857891452847979962825775146484375
59,Orange,18117,77,391.9370000000000118234311230480670928955078125,3,0.10513999999999999734878741719512618146836757659912109375,2,2.5,Orange (2 and 2.5),0.07205999999999999905408998301936662755906581878662109375,3.30799999999999982946974341757595539093017578125
60,Owen,18119,103,495.2160000000000081854523159563541412353515625,3,0.08813999999999999612754209010745398700237274169921875,1,2,Orange (2 and 2.5),0.09969999999999999695798891252707107923924922943115234375,-1.156000000000000138555833473219536244869232177734375
61,Parke,18121,68,401.48799999999999954525264911353588104248046875,3,0.1067599999999999937916328462961246259510517120361328125,2,2.5,Orange (2 and 2.5),0.13270999999999999463540234501124359667301177978515625,-2.595000000000000195399252334027551114559173583984375
62,Perry,18123,92,479.9420000000000072759576141834259033203125,3,0.2164600000000000135091937636389047838747501373291015625,3,3,Red (3),0.208930000000000004600764214046648703515529632568359375,0.75300000000000000266453525910037569701671600341796875
63,Pike,18125,44,355.15399999999999636202119290828704833984375,3,0.12138000000000000178079773149875109083950519561767578125,2,2.5,Orange (2 and 2.5),0.04839000000000000245581333047084626741707324981689453125,7.29899999999999948840923025272786617279052734375
64,Porter,18127,1482,869.7740000000000009094947017729282379150390625,3,0.1634799999999999864375155311790877021849155426025390625,3,3,Red (3),0.1435800000000000131716859641528571955859661102294921875,1.9900000000000002131628207280300557613372802734375
65,Posey,18129,112,440.4769999999999754436430521309375762939453125,3,0.105130000000000001225686219186172820627689361572265625,2,2.5,Orange (2 and 2.5),0.08711000000000000687006007638046867214143276214599609375,1.802000000000000046185277824406512081623077392578125
66,Pulaski,18131,67,542.3780000000000427462509833276271820068359375,3,0.142430000000000001048050535246147774159908294677734375,2,2.5,Orange (2 and 2.5),0.0894999999999999962252417162744677625596523284912109375,5.29300000000000014921397450962103903293609619140625
67,Putnam,18133,111,295.40100000000001045918907038867473602294921875,3,0.043009999999999999620303725578196463175117969512939453125,0,1.5,Yellow (1 and 1.5),0.06758999999999999730437849621011991985142230987548828125,-2.4580000000000001847411112976260483264923095703125
68,Randolph,18135,225,912.2240000000000463842297904193401336669921875,3,0.14097999999999999420907670355518348515033721923828125,2,2.5,Orange (2 and 2.5),0.0647999999999999964916952421845053322613239288330078125,7.61799999999999943867123874952085316181182861328125
69,Ripley,18137,274,967.37699999999995270627550780773162841796875,3,0.154090000000000004742872761198668740689754486083984375,3,3,Red (3),0.105069999999999996731503415503539144992828369140625,4.90200000000000013500311979441903531551361083984375
70,Rush,18139,68,410.10800000000000409272615797817707061767578125,3,0.05945999999999999896527214104935410432517528533935546875,1,2,Orange (2 and 2.5),0.083369999999999999662492200513952411711215972900390625,-2.390000000000000124344978758017532527446746826171875
71,Scott,18143,109,456.58300000000002683009370230138301849365234375,3,0.06666999999999999315658527621053508482873439788818359375,1,2,Orange (2 and 2.5),0.08683000000000000440092406961412052623927593231201171875,-2.015000000000000124344978758017532527446746826171875
72,Shelby,18145,212,473.96499999999997498889570124447345733642578125,3,0.12895000000000000905941988094127736985683441162109375,2,2.5,Orange (2 and 2.5),0.1175299999999999955857532540903775952756404876708984375,1.141999999999999904076730672386474907398223876953125
73,Spencer,18147,118,581.94000000000005456968210637569427490234375,3,0.1542800000000000004707345624410663731396198272705078125,3,3,Red (3),0.07785999999999999865440969415431027300655841827392578125,7.64200000000000034816594052244909107685089111328125
74,St. Joseph,18141,2133,784.692999999999983629095368087291717529296875,3,0.11401999999999999635402758713098592124879360198974609375,2,2.5,Orange (2 and 2.5),0.07935999999999999998667732370449812151491641998291015625,3.46600000000000019184653865522705018520355224609375
75,Starke,18149,131,569.6889999999999645297066308557987213134765625,3,0.11683000000000000329070104498896398581564426422119140625,2,2.5,Orange (2 and 2.5),0.110839999999999994084731724797165952622890472412109375,0.5989999999999999769073610877967439591884613037109375
76,Steuben,18151,245,708.2150000000000318323145620524883270263671875,3,0.16630000000000000337507799486047588288784027099609375,3,3,Red (3),0.1455700000000000049471537977296975441277027130126953125,2.07200000000000006394884621840901672840118408203125
77,Sullivan,18153,121,585.4180000000000063664629124104976654052734375,3,0.172729999999999994653165913405246101319789886474609375,3,3,Red (3),0.09818000000000000337951888695897650904953479766845703125,7.4550000000000000710542735760100185871124267578125
78,Switzerland,18155,52,483.67599999999998772182152606546878814697265625,3,0.059290000000000002422506639732091571204364299774169921875,1,2,Orange (2 and 2.5),0.04725000000000000033306690738754696212708950042724609375,1.2030000000000000692779167366097681224346160888671875
79,Tippecanoe,18157,1241,634.029999999999972715158946812152862548828125,3,0.0865100000000000035615954629975021816790103912353515625,1,2,Orange (2 and 2.5),0.072099999999999997424282582869636826217174530029296875,1.44099999999999983657517077517695724964141845703125
80,Tipton,18159,84,554.52899999999999636202119290828704833984375,3,0.12314999999999999558131236199187696911394596099853515625,2,2.5,Orange (2 and 2.5),0.11920999999999999652278148687400971539318561553955078125,0.39400000000000001687538997430237941443920135498046875
81,Union,18161,55,779.6989999999999554347596131265163421630859375,3,0.1249200000000000032596148002994596026837825775146484375,2,2.5,Orange (2 and 2.5),0.175559999999999993836041767281130887567996978759765625,-5.06400000000000005684341886080801486968994140625
82,Vanderburgh,18163,899,495.4510000000000218278728425502777099609375,3,0.062230000000000000592859095149833592586219310760498046875,1,2,Orange (2 and 2.5),0.056059999999999998721023075631819665431976318359375,0.61799999999999999378275106209912337362766265869140625
83,Vermillion,18165,103,664.6019999999999754436430521309375762939453125,3,0.07906000000000000527133892092024325393140316009521484375,1,2,Orange (2 and 2.5),0.08175000000000000321964677141295396722853183746337890625,-0.2680000000000000159872115546022541821002960205078125
84,Vigo,18167,1163,1086.529999999999972715158946812152862548828125,3,0.1379799999999999915445414444548077881336212158203125,2,2.5,Orange (2 and 2.5),0.10005999999999999616751011899395962245762348175048828125,3.792999999999999705124764659558422863483428955078125
85,Wabash,18169,325,1048.5219999999999345163814723491668701171875,3,0.1142100000000000059596771961878403089940547943115234375,2,2.5,Orange (2 and 2.5),0.0767899999999999971489472727625980041921138763427734375,3.74199999999999999289457264239899814128875732421875
86,Warren,18171,31,375.0760000000000218278728425502777099609375,3,0.152749999999999996891375531049561686813831329345703125,3,3,Red (3),0.15498000000000000664357457935693673789501190185546875,-0.2239999999999999769073610877967439591884613037109375
87,Warrick,18173,328,520.6509999999999536157702095806598663330078125,3,0.07951999999999999346744772310557891614735126495361328125,1,2,Orange (2 and 2.5),0.055039999999999998647748356006559333764016628265380859375,2.447999999999999953814722175593487918376922607421875
88,Washington,18175,94,335.2830000000000154614099301397800445556640625,3,0.106520000000000003570477247194503434002399444580078125,2,2.5,Orange (2 and 2.5),0.1451699999999999934896521835980820469558238983154296875,-3.864999999999999769073610877967439591884613037109375
89,Wayne,18177,400,607.1280000000000427462509833276271820068359375,3,0.074660000000000004138911435802583582699298858642578125,1,2,Orange (2 and 2.5),0.071379999999999999005240169935859739780426025390625,0.329000000000000014654943925052066333591938018798828125
90,Wells,18179,225,795.1649999999999636202119290828704833984375,3,0.1647800000000000097966079692923813126981258392333984375,3,3,Red (3),0.10749999999999999833466546306226518936455249786376953125,5.7279999999999997584154698415659368038177490234375
91,White,18181,186,771.720000000000027284841053187847137451171875,3,0.1558100000000000040500935938325710594654083251953125,3,3,Red (3),0.09654000000000000081268325402561458759009838104248046875,5.92700000000000049027448767446912825107574462890625
92,Whitley,18183,258,759.6280000000000427462509833276271820068359375,3,0.1873499999999999887645429907934158109128475189208984375,3,3,Red (3),0.135060000000000013375967000683885999023914337158203125,5.22900000000000009237055564881302416324615478515625
