_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Difference in Positivity
1,Adams,18001,78,218.01716186400000196954351849853992462158203125,3,0.045854271000000002000973609028733335435390472412109375,0,1.5,Yellow (1 and 1.5),0.027169578999999999258108118738164193928241729736328125,1.8684692999999998885840568618732504546642303466796875
2,Allen,18003,502,132.34941299600001229919143952429294586181640625,2,0.06463227800000000133895383669369039125740528106689453125,1,1.5,Yellow (1 and 1.5),0.051261798999999996784282529915799386799335479736328125,1.3370477999999998974800519135897047817707061767578125
3,Bartholomew,18005,66,78.7786915580000055570053518749773502349853515625,1,0.02691754500000000105419672991047264076769351959228515625,0,0.5,Blue (0 and 0.5),0.02621985300000000129738708665172453038394451141357421875,0.0697691000000000005609734898825990967452526092529296875
4,Benton,18007,4,45.72473708300000083681879914365708827972412109375,1,0.00446428599999999960179497549006555345840752124786376953125,0,0.5,Blue (0 and 0.5),0.005952380999999999644511916585543076507747173309326171875,-0.1488095000000000112105880134549806825816631317138671875
5,Blackford,18009,24,204.116346316999994314755895175039768218994140625,3,0.09242361000000000326171090136995189823210239410400390625,1,2,Orange (2 and 2.5),0.047477522000000001167752117225973051972687244415283203125,4.4946087000000005673427949659526348114013671875
6,Boone,18011,71,104.653390916999995852165739051997661590576171875,2,0.05186855199999999832538577493323828093707561492919921875,1,1.5,Yellow (1 and 1.5),0.042480490000000002692726042141657671891152858734130859375,0.93880620000000003511075874484959058463573455810546875
7,Brown,18013,15,99.3904055130000045892302296124398708343505859375,1,0.125228757999999995575990396901033818721771240234375,2,1.5,Yellow (1 and 1.5),0.01298701300000000037615510706245913752354681491851806640625,11.224174500000000165300662047229707241058349609375
8,Carroll,18015,10,49.365651380000002745873644016683101654052734375,1,0.0120153320000000000955520107481788727454841136932373046875,0,0.5,Blue (0 and 0.5),0.0443230049999999986543031127439462579786777496337890625,-3.230767200000000283210965790203772485256195068359375
9,Cass,18017,108,286.5557589750000033745891414582729339599609375,3,0.09970315600000000111347020492758019827306270599365234375,1,2,Orange (2 and 2.5),0.054288519999999999832152042245070333592593669891357421875,4.54146370000000043631871449179016053676605224609375
10,Clark,18019,196,165.677672397999998565865098498761653900146484375,2,0.07218339299999999847390341756181442178785800933837890625,1,1.5,Yellow (1 and 1.5),0.07271850400000000325118065802598721347749233245849609375,-0.053510999999999996068478225197395659051835536956787109375
11,Clay,18021,41,156.339370828999989271324011497199535369873046875,2,0.07608453099999999691416263658538809977471828460693359375,1,1.5,Yellow (1 and 1.5),0.057235344999999999970885511402229894883930683135986328125,1.8849185999999999996390442902338691055774688720703125
12,Clinton,18023,48,148.15272076299999071125057525932788848876953125,2,0.0474450780000000016389805068683926947414875030517578125,0,1,Yellow (1 and 1.5),0.04976545999999999747576140407545608468353748321533203125,-0.2320383000000000028872904067611671052873134613037109375
13,Crawford,18025,8,75.6358135579999952824437059462070465087890625,1,0.034090231999999998091510633457801304757595062255859375,0,0.5,Blue (0 and 0.5),0.0164875249999999994032773287244708626531064510345458984375,1.760270699999999965967845128034241497516632080078125
14,Daviess,18027,37,110.9412011630000023387765395455062389373779296875,2,0.07515443600000000501371033578834612853825092315673828125,1,1.5,Yellow (1 and 1.5),0.04734952900000000131086608234909363090991973876953125,2.78049060000000025638655642978847026824951171875
