_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Difference in Positivity
1,Adams,18001,302,844.1200000000000045474735088646411895751953125,3,0.08828999999999999348521129149958142079412937164306640625,1,2,Orange (2 and 2.5),0.11515999999999999847677401021428522653877735137939453125,-0.0268700000000000015221157667610896169207990169525146484375
2,Allen,18003,2744,723.44000000000005456968210637569427490234375,3,0.177729999999999999094058011905872263014316558837890625,3,3,Red (3),0.1701000000000000011990408665951690636575222015380859375,0.007640000000000000089650509238481390639208257198333740234375
3,Bartholomew,18005,586,699.4600000000000363797880709171295166015625,3,0.12600000000000000088817841970012523233890533447265625,2,2.5,Orange (2 and 2.5),0.1056600000000000039168668308775522746145725250244140625,0.0203400000000000004407585407761871465481817722320556640625
4,Benton,18007,78,891.6299999999999954525264911353588104248046875,3,0.1325600000000000111555209514335729181766510009765625,2,2.5,Orange (2 and 2.5),0.07645000000000000406341627012807293795049190521240234375,0.056110000000000000153210777398271602578461170196533203125
5,Blackford,18009,113,961.049999999999954525264911353588104248046875,3,0.211320000000000007833733661755104549229145050048828125,3,3,Red (3),0.0741900000000000059419136277938378043472766876220703125,0.1371300000000000018918200339612667448818683624267578125
6,Boone,18011,352,518.8400000000000318323145620524883270263671875,3,0.11292000000000000647926157171241356991231441497802734375,2,2.5,Orange (2 and 2.5),0.10180000000000000159872115546022541821002960205078125,0.01111000000000000008382183835919931880198419094085693359375
7,Brown,18013,48,318.05000000000001136868377216160297393798828125,3,0.11755999999999999783284465593169443309307098388671875,2,2.5,Orange (2 and 2.5),0.12114999999999999380495552259162650443613529205322265625,-0.0035899999999999998752386876077480337698943912982940673828125
8,Carroll,18015,104,513.3999999999999772626324556767940521240234375,3,0.1423999999999999988009591334048309363424777984619140625,2,2.5,Orange (2 and 2.5),0.11153000000000000413447054370408295653760433197021484375,0.03085999999999999854338739169179461896419525146484375
9,Cass,18017,178,472.29000000000002046363078989088535308837890625,3,0.0917199999999999959765517587584326975047588348388671875,1,2,Orange (2 and 2.5),0.10817000000000000226041407813681871630251407623291015625,-0.016449999999999999344968415471157641150057315826416015625
10,Clark,18019,647,546.9099999999999681676854379475116729736328125,3,0.11973000000000000309086090055643580853939056396484375,2,2.5,Orange (2 and 2.5),0.12442999999999999893862678845835034735500812530517578125,-0.004700000000000000184574577843932274845428764820098876953125
11,Clay,18021,296,1128.69000000000005456968210637569427490234375,3,0.12460999999999999854338739169179461896419525146484375,2,2.5,Orange (2 and 2.5),0.1513500000000000123012711128467344678938388824462890625,-0.02673999999999999988009591334048309363424777984619140625
