_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Difference in Positivity
1,Adams,18001,32,89.44293820100000402817386202514171600341796875,1,0.034448478999999997129943807294694124720990657806396484375,0,0.5,Blue (0 and 0.5),0.022612106999999999346062651284228195436298847198486328125,1.1836371999999999449215692948200739920139312744140625
2,Allen,18003,352,92.802775647000004255460225977003574371337890625,1,0.063037218000000005968530558675411157310009002685546875,1,1,Yellow (1 and 1.5),0.061588597000000001868702526053311885334551334381103515625,0.14486209999999999364916902777622453868389129638671875
3,Bartholomew,18005,33,39.38934577900000277850267593748867511749267578125,1,0.01474228900000000043457593079665457480587065219879150390625,0,0.5,Blue (0 and 0.5),0.01465329100000000057957283416953941923566162586212158203125,0.00889980654899999966411794360965359373949468135833740234375
4,Benton,18007,0,0,0,0,0,0,Blue (0 and 0.5),0.007142856999999999852157817059605804388411343097686767578125,-0.714285700000000023379698177450336515903472900390625
5,Blackford,18009,8,68.0387821059999993167366483248770236968994140625,1,0.0301596889999999999421032015334276366047561168670654296875,0,0.5,Blue (0 and 0.5),0.08465420399999999678808393355211592279374599456787109375,-5.449451599999999729107003076933324337005615234375
6,Boone,18011,46,67.8036053830000042808023863472044467926025390625,1,0.027715654999999998764348418944791774265468120574951171875,0,0.5,Blue (0 and 0.5),0.01946979199999999965431385362535365857183933258056640625,0.82458630000000010529248584134620614349842071533203125
7,Brown,18013,2,13.25205406799999963141090120188891887664794921875,1,0.15411255400000001269944505111197941005229949951171875,3,2,Orange (2 and 2.5),0.0221088439999999990248635839407143066637217998504638671875,13.2003710999999999131659933482296764850616455078125
8,Carroll,18015,8,39.49252110399999793344250065274536609649658203125,1,0.0086389029999999998599147232880568481050431728363037109375,0,0.5,Blue (0 and 0.5),0.00884031700000000031369751241072663106024265289306640625,-0.0201414000000000002754685368699938408099114894866943359375
9,Cass,18017,23,61.025763484999998809144017286598682403564453125,1,0.01343887000000000032928770821172292926348745822906494140625,0,0.5,Blue (0 and 0.5),0.01628100999999999853873333677256596274673938751220703125,-0.284213999999999966661334838136099278926849365234375
10,Clark,18019,124,104.8164866190000026335837901569902896881103515625,2,0.068004322000000005932207614023354835808277130126953125,1,1.5,Yellow (1 and 1.5),0.07518661299999999936272132572412374429404735565185546875,-0.7182291000000000646963371764286421239376068115234375
