_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Difference in Positivity
33,Henry,18065,112,233.469523888999987093484378419816493988037109375,3,0.051151851999999997655521610795403830707073211669921875,1,2,Orange (2 and 2.5),0.034414671000000000844476488737200270406901836395263671875,1.6737181000000000974381464402540586888790130615234375
34,Howard,18067,91,110.2442333789999935333980829454958438873291015625,2,0.058770039000000003082124777620265376754105091094970703125,1,1.5,Yellow (1 and 1.5),0.047862121999999999999442223952428321354091167449951171875,1.090791700000000030712499210494570434093475341796875
35,Huntington,18069,46,125.9583789699999982758527039550244808197021484375,2,0.049223233999999997656527028766504372470080852508544921875,0,1,Yellow (1 and 1.5),0.01340814799999999994140065240344483754597604274749755859375,3.58150860000000026417410481371916830539703369140625
36,Jackson,18071,58,131.129750626999992846322129480540752410888671875,2,0.0829390140000000053444040304384543560445308685302734375,1,1.5,Yellow (1 and 1.5),0.021855224999999998958255531533723114989697933197021484375,6.1083788999999999447254594997502863407135009765625
37,Jasper,18073,18,53.6320839039999981423534336499869823455810546875,1,0.03969208999999999931684868670345167629420757293701171875,0,0.5,Blue (0 and 0.5),0.031357001000000002399747955905695562250912189483642578125,0.8335087999999999386346871688147075474262237548828125
38,Jay,18075,31,151.693090624000006982896593399345874786376953125,2,0.0756532659999999967936901157372631132602691650390625,1,1.5,Yellow (1 and 1.5),0.019224523999999999779308978986591682769358158111572265625,5.6428741999999996181713868281804025173187255859375
39,Jefferson,18077,19,58.80896372400000160496347234584391117095947265625,1,0.01255358099999999942075756820258902735076844692230224609375,0,0.5,Blue (0 and 0.5),0.01077825599999999994782484691313584335148334503173828125,0.17753249999999998198774164848146028816699981689453125
40,Jennings,18079,11,39.66107806000000124413418234325945377349853515625,1,0.02710347700000000081832496334754978306591510772705078125,0,0.5,Blue (0 and 0.5),0.0174825169999999995018580278838271624408662319183349609375,0.96209599999999995123545204478432424366474151611328125
41,Johnson,18081,134,84.720580146000003196604666300117969512939453125,1,0.04855447300000000077080386517991428263485431671142578125,0,0.5,Blue (0 and 0.5),0.0222707699999999987616750019014943973161280155181884765625,2.628370299999999826212615516851656138896942138671875
42,Knox,18083,52,142.099797781000006580143235623836517333984375,2,0.02964709299999999936314765136557980440557003021240234375,0,1,Yellow (1 and 1.5),0.030562786000000001507270752654221723787486553192138671875,-0.0915692999999999923677052038328838534653186798095703125
43,Kosciusko,18085,106,133.407168746999985842194291763007640838623046875,2,0.09051667900000000266391708692026440985500812530517578125,1,1.5,Yellow (1 and 1.5),0.0583810270000000020029773395435768179595470428466796875,3.213565200000000121605125968926586210727691650390625
44,Lagrange,18087,23,58.0602817190000024538676370866596698760986328125,1,0.08808669800000000493778173904502182267606258392333984375,1,1,Yellow (1 and 1.5),0.06239973000000000047382542334162280894815921783447265625,2.568696800000000113328724182792939245700836181640625
45,Lake,18089,550,113.2869062989999946466923574917018413543701171875,2,0.06136023899999999697829622391509474255144596099853515625,1,1.5,Yellow (1 and 1.5),0.0473909799999999992170529594659456051886081695556640625,1.3969259000000000536800826012040488421916961669921875
46,La Porte,18091,196,178.363424578000007159062079153954982757568359375,2,0.0775804850000000045806558546246378682553768157958984375,1,1.5,Yellow (1 and 1.5),0.0266217579999999988393799554842189536429941654205322265625,5.09587270000000014391616787179373204708099365234375
47,Lawrence,18093,52,114.61318051599999989775824360549449920654296875,2,0.062282793000000002958671529995626769959926605224609375,1,1.5,Yellow (1 and 1.5),0.046709570999999998341944973390127415768802165985107421875,1.557322099999999931441152511979453265666961669921875
48,Madison,18095,157,121.170959103000001277905539609491825103759765625,2,0.0626756009999999974535711544376681558787822723388671875,1,1.5,Yellow (1 and 1.5),0.04852410299999999898634683859199867583811283111572265625,1.4151498000000000132558852783404290676116943359375
49,Marion,18097,854,88.53575953099999651385587640106678009033203125,1,0.051363933999999999979735321176121942698955535888671875,1,1,Yellow (1 and 1.5),0.045475654999999996774828758816511253826320171356201171875,0.58882789999999995966817323278519324958324432373046875
50,Marshall,18099,58,125.3837174110000063365077949129045009613037109375,2,0.006358220000000000364515084783079146291129291057586669921875,0,1,Yellow (1 and 1.5),0.0080795659999999998313047200326764141209423542022705078125,-0.1721345999999999987206678042639396153390407562255859375
51,Martin,18101,5,48.756704046999999491163180209696292877197265625,1,0.0305602719999999994371364664402790367603302001953125,0,0.5,Blue (0 and 0.5),0.053564388999999996976431049233724479563534259796142578125,-2.300411700000000170263092513778246939182281494140625
52,Miami,18103,13,36.60322108300000110148175735957920551300048828125,1,0.0150832290000000000806945621434351778589189052581787109375,0,0.5,Blue (0 and 0.5),0.0162818300000000006078071379533867002464830875396728515625,-0.1198599999999999943245398981161997653543949127197265625
53,Monroe,18105,161,108.46790764700000408993219025433063507080078125,2,0.0145933409999999992578967322742755641229450702667236328125,0,1,Yellow (1 and 1.5),0.0322712529999999997443183019640855491161346435546875,-1.767791200000000007008793545537628233432769775390625
54,Montgomery,18107,3,7.82513433100000010966823538183234632015228271484375,0,0.0107420359999999999456310462164765340276062488555908203125,0,0,Blue (0 and 0.5),0.0235530019999999999658069071983845788054168224334716796875,-1.2810965999999999187508592513040639460086822509765625
55,Morgan,18109,39,55.3277816399999977647894411347806453704833984375,1,0.0279500090000000013523706599016804830171167850494384765625,0,0.5,Blue (0 and 0.5),0.03315105100000000082349771446388331241905689239501953125,-0.520104200000000016501644495292566716670989990234375
56,Newton,18111,4,28.6041189930000001595544745214283466339111328125,1,0.00510204099999999986791987538481407682411372661590576171875,0,0.5,Blue (0 and 0.5),0.02636054399999999964254726592116639949381351470947265625,-2.125850300000000192568450074759311974048614501953125
57,Noble,18113,27,56.55160857900000337394885718822479248046875,1,0.06440558999999999867380751084056100808084011077880859375,1,1,Yellow (1 and 1.5),0.060089650000000001395239479506926727481186389923095703125,0.431593999999999977656983674023649655282497406005859375
58,Ohio,18115,3,51.063829787000003079810994677245616912841796875,1,0.0261904760000000007280629432671048562042415142059326171875,0,0.5,Blue (0 and 0.5),0.036507936999999997251808991904908907599747180938720703125,-1.0317460000000000519548848387785255908966064453125
59,Orange,18117,11,55.99104143299999947203104966320097446441650390625,1,0.00711456100000000014882406418337268405593931674957275390625,0,0.5,Blue (0 and 0.5),0.0135389919999999996935713397760991938412189483642578125,-0.6424431999999999920447635304299183189868927001953125
60,Owen,18119,6,28.847540747000000038724465412087738513946533203125,1,0.006684981999999999903450120797288036555983126163482666015625,0,0.5,Blue (0 and 0.5),0.03013314400000000059520743889152072370052337646484375,-2.344816200000000350200934917666018009185791015625
61,Parke,18121,19,112.1804333710000065593703766353428363800048828125,2,0.09540093700000000509486852706686477176845073699951171875,1,1.5,Yellow (1 and 1.5),0.04550627599999999828295216275364509783685207366943359375,4.9894660999999995709686118061654269695281982421875
62,Perry,18123,19,99.118368199000002505272277630865573883056640625,1,0.036016100000000002279154642792491358704864978790283203125,0,0.5,Blue (0 and 0.5),0.0675147849999999938308548053100821562111377716064453125,-3.149868499999999738037104179966263473033905029296875
63,Pike,18125,81,653.8057954639999707069364376366138458251953125,3,0.158278014999999994127932723131380043923854827880859375,3,3,Red (3),0.0622032329999999966663182249249075539410114288330078125,9.6074780999999997987970346002839505672454833984375
64,Porter,18127,180,105.6406223409999967088879202492535114288330078125,2,0.0455407320000000004345253046267316676676273345947265625,0,1,Yellow (1 and 1.5),0.0570258309999999990491659218605491332709789276123046875,-1.1485099999999999198507794062606990337371826171875
65,Posey,18129,92,361.82011247899998807042720727622509002685546875,3,0.09492410099999999684161622326428187079727649688720703125,1,2,Orange (2 and 2.5),0.0495697920000000014084662325331009924411773681640625,4.53543099999999999027977537480182945728302001953125
66,Pulaski,18131,2,16.190399092999999908215613686479628086090087890625,1,0.0297619050000000016920065348813295713625848293304443359375,0,0.5,Blue (0 and 0.5),0.00878711199999999970078334854406421072781085968017578125,2.097479299999999824422047822736203670501708984375
67,Putnam,18133,31,82.49946774500000401530996896326541900634765625,1,0.03613148900000000274257416776890750043094158172607421875,0,0.5,Blue (0 and 0.5),0.0523154700000000028037305810357793234288692474365234375,-1.6183981000000000616267925579450093209743499755859375
68,Randolph,18135,25,101.35819987799999353228486143052577972412109375,2,0.05261111400000000049015369540938991121947765350341796875,1,1.5,Yellow (1 and 1.5),0.01250506099999999960747931737614635494537651538848876953125,4.0106052999999999286728780134581029415130615234375
69,Ripley,18137,25,88.2643694390000064231571741402149200439453125,1,0.0397136230000000034490170719436719082295894622802734375,0,0.5,Blue (0 and 0.5),0.010535558000000000422602397520677186548709869384765625,2.917806600000000027961277737631462514400482177734375
70,Rush,18139,5,30.15499668300000024601104087196290493011474609375,1,0.0255364609999999998823927427338276174850761890411376953125,0,0.5,Blue (0 and 0.5),0.039712612000000001299948593214139691554009914398193359375,-1.417615000000000069491079557337798178195953369140625
71,St. Joseph,18141,618,227.351320329999992964076227508485317230224609375,3,0.04361115899999999656611038290066062472760677337646484375,0,1.5,Yellow (1 and 1.5),0.04792544099999999918093607220725971274077892303466796875,-0.4314280999999999810512463227496482431888580322265625
72,Scott,18143,43,180.11980061200000591270509175956249237060546875,2,0.0649250190000000004797442443305044434964656829833984375,1,1.5,Yellow (1 and 1.5),0.06960851699999999475654277603098307736217975616455078125,-0.46834980000000003830251671388396061956882476806640625
73,Shelby,18145,20,44.71372040499999656049112672917544841766357421875,1,0.0225474109999999998421582603214119444601237773895263671875,0,0.5,Blue (0 and 0.5),0.0175550590000000013291003853055372019298374652862548828125,0.499235200000000045594816810989868827164173126220703125
74,Spencer,18147,40,197.267840409999990924916346557438373565673828125,2,0.10186795299999999719897658678746665827929973602294921875,2,2,Orange (2 and 2.5),0.09857248200000000293297119924318394623696804046630859375,0.329547199999999984587617518627666868269443511962890625
75,Starke,18149,19,82.6266579689999929314581095241010189056396484375,1,0.053761999999999997290611730704767978750169277191162109375,1,1,Yellow (1 and 1.5),0.054036066000000000653091802860217285342514514923095703125,-0.0274065999999999997116528760443543433211743831634521484375
76,Steuben,18151,33,95.3922645549999970171484164893627166748046875,1,0.0791644489999999978468991912450292147696018218994140625,1,1,Yellow (1 and 1.5),0.06421580200000000238080843928401009179651737213134765625,1.4948647000000001572317387399380095303058624267578125
77,Sullivan,18153,14,67.7342880639999975755927152931690216064453125,1,0.078369210999999994182729778913198970258235931396484375,1,1,Yellow (1 and 1.5),0.01638441200000000097514174512980389408767223358154296875,6.198479999999999989768184605054557323455810546875
78,Switzerland,18155,3,27.9043809879999997747290763072669506072998046875,1,0.01360544200000000057693139154935124679468572139739990234375,0,0.5,Blue (0 and 0.5),0.0174825169999999995018580278838271624408662319183349609375,-0.38770749999999998269828438424156047403812408447265625
79,Tippecanoe,18157,251,128.23656836899999689194373786449432373046875,2,0.0462111560000000032299993790729786269366741180419921875,0,1,Yellow (1 and 1.5),0.03755656300000000114014397922801435925066471099853515625,0.86545930000000004245208629072294570505619049072265625
80,Tipton,18159,15,99.0229733299999992368611856363713741302490234375,1,0.037264187999999996703248683616038761101663112640380859375,0,0.5,Blue (0 and 0.5),0.01486605199999999939175499008570113801397383213043212890625,2.2398135999999997380882632569409906864166259765625
81,Union,18161,2,28.352707683999998522494934150017797946929931640625,1,0.0215873019999999991858086190177345997653901576995849609375,0,0.5,Blue (0 and 0.5),0.034920634999999998482334007121608010493218898773193359375,-1.3333332999999998325080241556861437857151031494140625
82,Vanderburgh,18163,516,284.374293887000021641142666339874267578125,3,0.054811961999999998795818356711606611497700214385986328125,1,2,Orange (2 and 2.5),0.05125649200000000071941741452974383719265460968017578125,0.35554710000000000480468997920979745686054229736328125
83,Vermillion,18165,10,64.52445476799999823924736119806766510009765625,1,0.0312113019999999997955431041418705717660486698150634765625,0,0.5,Blue (0 and 0.5),0.01078293299999999975413711439387043355964124202728271484375,2.042836899999999733523736722418107092380523681640625
84,Vigo,18167,149,139.202899905000009539435268379747867584228515625,2,0.0984446300000000051877435680580674670636653900146484375,1,1.5,Yellow (1 and 1.5),0.033518847999999996922770861829121713526546955108642578125,6.4925782999999999134388417587615549564361572265625
85,Wabash,18169,18,58.07200929199999706042945035733282566070556640625,1,0.058099348000000002045783986659444053657352924346923828125,1,1,Yellow (1 and 1.5),0.00662606299999999974470465957665510359220206737518310546875,5.1473285000000004174580681137740612030029296875
86,Warren,18171,2,24.198427102000000132875356939621269702911376953125,1,0.05413832200000000260953214592518634162843227386474609375,1,1,Yellow (1 and 1.5),0,5.4138321999999998723751559737138450145721435546875
87,Warrick,18173,165,261.913076606000004176166839897632598876953125,3,0.0704655180000000047613184506190009415149688720703125,1,2,Orange (2 and 2.5),0.0967994040000000055545825716762919910252094268798828125,-2.633388599999999968304109643213450908660888671875
88,Washington,18175,18,64.20316735599999447003938257694244384765625,1,0.04816510599999999919784698931835009716451168060302734375,0,0.5,Blue (0 and 0.5),0.07181463500000000166334501727760653011500835418701171875,-2.364952900000000024505197870894335210323333740234375
89,Wayne,18177,72,109.2829822110000037582722143270075321197509765625,2,0.043233880000000002308269131390261463820934295654296875,0,1,Yellow (1 and 1.5),0.03587627699999999808522233024632441811263561248779296875,0.73576030000000003372662149558891542255878448486328125
90,Wells,18179,16,56.545094712999997454971889965236186981201171875,1,0.05814771700000000154151535980417975224554538726806640625,1,1,Yellow (1 and 1.5),0.02971337300000000125610455370406270958483219146728515625,2.843434400000000028541080610011704266071319580078125
91,White,18181,19,78.831632229999996752667357213795185089111328125,1,0.0176486889999999986555767605977962375618517398834228515625,0,0.5,Blue (0 and 0.5),0.005802060000000000376807474111728879506699740886688232421875,1.1846628999999999631853597747976891696453094482421875
92,Whitley,18183,34,100.105994581999993897625245153903961181640625,2,0.0661769080000000065044929442592547275125980377197265625,1,1.5,Yellow (1 and 1.5),0.0299390479999999993554471444667797186411917209625244140625,3.623785999999999507537040699389763176441192626953125
