_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,Count Score Color,Previous Positivity,Pos Difference
60,Owen,18119,5,24.03999999999999914734871708787977695465087890625,1,0.0087600000000000004252154184314349549822509288787841796875,0,0.5,Blue (0 and 0.5),0.07599000000000000198951966012828052043914794921875,-0.06722999999999999809485728974323137663304805755615234375
61,Parke,18121,6,35.4249999999999971578290569595992565155029296875,1,0.0121099999999999992372767820825174567289650440216064453125,0,0.5,Blue (0 and 0.5),0.049459999999999997022381847955330158583819866180419921875,-0.037359999999999997377653215835380251519381999969482421875
62,Perry,18123,2,10.4339999999999992752464095246978104114532470703125,1,0.002749999999999999840405440210133747314102947711944580078125,0,0.5,Blue (0 and 0.5),0.0022000000000000001325328735646280620130710303783416748046875,0.000550000000000000033133218391157015503267757594585418701171875
63,Pike,18125,13,104.9320000000000021600499167107045650482177734375,2,0.0145400000000000008404388296412435011006891727447509765625,0,1,Yellow (1 and 1.5),0.03908999999999999974686915038546430878341197967529296875,-0.0245599999999999984989784707067883573472499847412109375
64,Porter,18127,92,53.993999999999999772626324556767940521240234375,1,0.031750000000000000444089209850062616169452667236328125,0,0.5,Blue (0 and 0.5),0.05258000000000000173638881051374482922255992889404296875,-0.02083000000000000129229960066368221305310726165771484375
65,Posey,18129,43,169.111999999999994770405464805662631988525390625,2,0.04209000000000000241140440948584000580012798309326171875,0,1,Yellow (1 and 1.5),0.034270000000000001849631559025510796345770359039306640625,0.007810000000000000101862962509358112583868205547332763671875
66,Pulaski,18131,9,72.856999999999999317878973670303821563720703125,1,0.0082799999999999991662225085065074381418526172637939453125,0,0.5,Blue (0 and 0.5),0.03955999999999999794386695839421008713543415069580078125,-0.0312800000000000022470914018413168378174304962158203125
67,Putnam,18133,47,125.0799999999999982946974341757595539093017578125,2,0.0276299999999999983113507795451369020156562328338623046875,0,1,Yellow (1 and 1.5),0.055710000000000002573496971081112860701978206634521484375,-0.0280700000000000012001510896197942201979458332061767578125
68,Randolph,18135,6,24.32600000000000051159076974727213382720947265625,1,0.0198799999999999983668619307763947290368378162384033203125,0,0.5,Blue (0 and 0.5),0.039179999999999999549249452002186444588005542755126953125,-0.0193000000000000011823875212257917155511677265167236328125
69,Ripley,18137,15,52.95900000000000318323145620524883270263671875,1,0.004919999999999999894251256904453839524649083614349365234375,0,0.5,Blue (0 and 0.5),0.0197300000000000010091927293842672952450811862945556640625,-0.014819999999999999840127884453977458178997039794921875
70,Rush,18139,8,48.24799999999999755573298898525536060333251953125,1,0.03465000000000000024424906541753443889319896697998046875,0,0.5,Blue (0 and 0.5),0.0289699999999999992239541057870155782438814640045166015625,0.005689999999999999745481371604682863107882440090179443359375
71,St. Joseph,18141,302,111.099999999999994315658113919198513031005859375,2,0.0325000000000000011102230246251565404236316680908203125,0,1,Yellow (1 and 1.5),0.047690000000000003221867217462204280309379100799560546875,-0.01519000000000000037692071686024064547382295131683349609375
72,Scott,18143,16,67.0210000000000007958078640513122081756591796875,1,0.050990000000000000601740879346834844909608364105224609375,1,1,Yellow (1 and 1.5),0.04710999999999999909849890400437288917601108551025390625,0.0038800000000000002021993683598566349246539175510406494140625
73,Shelby,18145,10,22.356999999999999317878973670303821563720703125,1,0.03665000000000000202060590481778490357100963592529296875,0,0.5,Blue (0 and 0.5),0.01882999999999999951594276126343174837529659271240234375,0.0178199999999999990352161916007389663718640804290771484375
74,Spencer,18147,15,73.974999999999994315658113919198513031005859375,1,0.03808999999999999885869073068533907644450664520263671875,0,0.5,Blue (0 and 0.5),0.0310099999999999993705035450375362415798008441925048828125,0.007080000000000000355548923636206382070668041706085205078125
75,Starke,18149,11,47.8359999999999985220711096189916133880615234375,1,0.0136100000000000005695444116327053052373230457305908203125,0,0.5,Blue (0 and 0.5),0.061449999999999997679633878533422830514609813690185546875,-0.047840000000000000579536418854331714101135730743408203125
76,Steuben,18151,26,75.1580000000000012505552149377763271331787109375,1,0.05262000000000000010658141036401502788066864013671875,1,1,Yellow (1 and 1.5),0.08186999999999999833022457096376456320285797119140625,-0.0292500000000000016930901125533637241460382938385009765625
77,Sullivan,18153,12,58.05799999999999982946974341757595539093017578125,1,0.0810599999999999931699079525060369633138179779052734375,1,1,Yellow (1 and 1.5),0.1215900000000000036326497365735122002661228179931640625,-0.04052999999999999658495397625301848165690898895263671875
78,Switzerland,18155,2,18.60300000000000153477230924181640148162841796875,1,0.01786000000000000087485574340462335385382175445556640625,0,0.5,Blue (0 and 0.5),0.005709999999999999797939409518221509642899036407470703125,0.01213999999999999974964470794702720013447105884552001953125
79,Tippecanoe,18157,203,103.712999999999993860910763032734394073486328125,2,0.038580000000000003179678742526448331773281097412109375,0,1,Yellow (1 and 1.5),0.0308800000000000011979306435705439071170985698699951171875,0.00770000000000000024702462297909733024425804615020751953125
80,Tipton,18159,13,85.81999999999999317878973670303821563720703125,1,0.07062000000000000221600515715181245468556880950927734375,1,1,Yellow (1 and 1.5),0.0807299999999999962074781478804652579128742218017578125,-0.01010999999999999919564341865907408646307885646820068359375
81,Union,18161,6,85.0580000000000069348971010185778141021728515625,1,0.032050000000000002098321516541545861400663852691650390625,0,0.5,Blue (0 and 0.5),0.0335000000000000019984014443252817727625370025634765625,-0.001449999999999999900079927783735911361873149871826171875
82,Vanderburgh,18163,280,154.3120000000000118234311230480670928955078125,2,0.032359999999999999875655021241982467472553253173828125,0,1,Yellow (1 and 1.5),0.033230000000000002591260539475115365348756313323974609375,-0.000870000000000000005100087019371812857571057975292205810546875
83,Vermillion,18165,9,58.0720000000000027284841053187847137451171875,1,0.08974000000000000032418512319054570980370044708251953125,1,1,Yellow (1 and 1.5),0.037420000000000001871836019518013927154242992401123046875,0.05233000000000000151434420558871352113783359527587890625
84,Vigo,18167,132,123.320999999999997953636921010911464691162109375,2,0.0952699999999999935784700255680945701897144317626953125,1,1.5,Yellow (1 and 1.5),0.109570000000000000728306304154102690517902374267578125,-0.014300000000000000210942374678779742680490016937255859375
85,Wabash,18169,19,61.298000000000001818989403545856475830078125,1,0.0333900000000000030109248427834245376288890838623046875,0,0.5,Blue (0 and 0.5),0.051209999999999998576694082430549315176904201507568359375,-0.0178199999999999990352161916007389663718640804290771484375
86,Warren,18171,,,0,0,0,0,Blue (0 and 0.5),0.012689999999999999891198143586734659038484096527099609375,-0.012689999999999999891198143586734659038484096527099609375
87,Warrick,18173,124,196.8319999999999936335370875895023345947265625,2,0.053780000000000001414424133372449432499706745147705078125,1,1.5,Yellow (1 and 1.5),0.029370000000000000273114864057788508944213390350341796875,0.02441000000000000114130926931466092355549335479736328125
88,Washington,18175,6,21.400999999999999801048033987171947956085205078125,1,0.0176700000000000016775469902086115325801074504852294921875,0,0.5,Blue (0 and 0.5),0.08643000000000000682121026329696178436279296875,-0.06876000000000000167421632113473606295883655548095703125
89,Wayne,18177,63,95.6230000000000046611603465862572193145751953125,1,0.0844300000000000050448534238967113196849822998046875,1,1,Yellow (1 and 1.5),0.058680000000000002990940828340171719901263713836669921875,0.0257499999999999985844656436029254109598696231842041015625
90,Wells,18179,14,49.47699999999999675992512493394315242767333984375,1,0.022370000000000000994759830064140260219573974609375,0,0.5,Blue (0 and 0.5),0.0179999999999999986399767948341832379810512065887451171875,0.004369999999999999752697821264746380620636045932769775390625
91,White,18181,4,16.596000000000000085265128291212022304534912109375,1,0.0088500000000000002275957200481570907868444919586181640625,0,0.5,Blue (0 and 0.5),0.0388799999999999978950171453107031993567943572998046875,-0.030030000000000001136868377216160297393798828125
92,Whitley,18183,9,26.498999999999998777866494492627680301666259765625,1,0.03207999999999999740651901447563432157039642333984375,0,0.5,Blue (0 and 0.5),0.05813000000000000111466391672365716658532619476318359375,-0.0260599999999999998312461002569762058556079864501953125
