_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,24,1,567
2,ALLEN,2089,78,15650
3,BARTHOLOMEW,542,40,2796
4,BENTON,37,0,373
5,BLACKFORD,29,2,495
6,BOONE,347,36,3321
7,BROWN,35,1,278
8,CARROLL,97,2,1163
9,CASS,1592,9,4226
10,CLARK,552,42,4800
11,CLAY,56,3,1168
12,CLINTON,251,1,2767
13,CRAWFORD,27,0,380
14,DAVIESS,116,16,1039
15,DEARBORN,177,22,1599
16,DECATUR,235,32,1312
17,DEKALB,94,2,1054
18,DELAWARE,399,43,5126
19,DUBOIS,233,4,1897
20,ELKHART,1876,30,13735
21,FAYETTE,80,7,976
22,FLOYD,332,42,3189
23,FOUNTAIN,23,2,618
24,FRANKLIN,119,8,630
25,FULTON,52,1,748
26,GIBSON,22,2,928
27,GRANT,250,24,2823
28,GREENE,177,28,1291
29,HAMILTON,1245,95,18487
30,HANCOCK,367,28,4355
31,HARRISON,198,22,1550
32,HENDRICKS,1246,86,7851
33,HENRY,200,13,2482
34,HOWARD,454,44,3978
35,HUNTINGTON,49,2,1222
36,JACKSON,413,2,2176
37,JASPER,81,1,1673
38,JAY,60,0,637
39,JEFFERSON,51,1,1534
40,JENNINGS,136,4,763
41,JOHNSON,1157,114,8364
42,KNOX,34,0,1019
43,KOSCIUSKO,271,2,2733
44,LAGRANGE,219,3,884
45,LAKE,4057,223,28552
46,LAPORTE,465,24,5160
47,LAWRENCE,172,24,1784
48,MADISON,610,61,5080
49,MARION,10492,643,63693
50,MARSHALL,261,3,2516
51,MARTIN,15,0,253
52,MIAMI,153,1,1638
53,MONROE,184,18,4468
54,MONTGOMERY,260,19,1853
55,MORGAN,294,28,3205
56,NEWTON,86,10,469
57,NOBLE,311,24,2287
58,OHIO,13,0,178
59,ORANGE,132,23,840
60,OWEN,37,1,970
61,PARKE,19,0,510
62,PERRY,55,1,745
63,PIKE,6,0,255
64,PORTER,582,33,6173
65,POSEY,18,0,543
66,PULASKI,52,1,604
67,PUTNAM,149,8,1748
68,RANDOLPH,62,3,970
69,RIPLEY,109,6,1190
70,RUSH,50,3,752
71,SCOTT,140,3,1868
72,SHELBY,406,22,3017
73,SPENCER,22,1,495
74,ST JOSEPH,1481,45,16964
75,STARKE,48,3,714
76,STEUBEN,100,2,1170
77,SULLIVAN,41,1,1018
78,SWITZERLAND,21,0,315
79,TIPPECANOE,466,5,8139
80,TIPTON,27,1,537
81,UNION,12,0,269
82,VANDERBURGH,316,4,7844
83,VERMILLION,10,0,439
84,VIGO,198,8,3606
85,WABASH,88,2,1190
86,WARREN,14,1,204
87,WARRICK,170,29,1811
88,WASHINGTON,56,1,710
89,WAYNE,94,6,2491
90,WELLS,47,0,973
91,WHITE,241,9,1681
92,WHITLEY,62,3,794
