_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,415,5,5210,Adams
2,18003,7406,216,73763,Allen
3,18005,1329,57,18597,Bartholomew
4,18007,98,0,1961,Benton
5,18009,170,3,2375,Blackford
6,18011,1143,48,15263,Boone
7,18013,124,3,2120,Brown
8,18015,301,13,3761,Carroll
9,18017,2160,16,10449,Cass
10,18019,2680,57,25928,Clark
11,18021,393,6,5103,Clay
12,18023,766,15,9356,Clinton
13,18025,134,1,1977,Crawford
14,18027,779,31,5849,Daviess
15,18029,834,28,9963,Dearborn
16,18031,484,39,5271,Decatur
17,18033,638,11,6754,De Kalb
18,18035,2609,72,24672,Delaware
19,18037,1265,21,9257,Dubois
20,18039,7925,126,56013,Elkhart
21,18041,525,15,5152,Fayette
22,18043,1644,65,16839,Floyd
23,18045,240,3,3232,Fountain
24,18047,336,25,2749,Franklin
25,18049,314,2,3941,Fulton
26,18051,770,9,6314,Gibson
27,18053,1117,39,14169,Grant
28,18055,482,36,6407,Greene
29,18057,5659,112,82621,Hamilton
30,18059,1090,44,18036,Hancock
31,18061,693,24,8109,Harrison
32,18063,3029,128,33297,Hendricks
33,18065,1088,27,10245,Henry
34,18067,1515,66,18366,Howard
35,18069,353,5,7455,Huntington
36,18071,986,10,8545,Jackson
37,18073,478,3,6724,Jasper
38,18075,258,5,3091,Jay
39,18077,316,4,6234,Jefferson
40,18079,348,13,4232,Jennings
41,18081,2849,127,34038,Johnson
42,18083,636,10,6219,Knox
43,18085,1567,20,15237,Kosciusko
44,18087,742,14,4023,Lagrange
45,18089,12326,343,108690,Lake
46,18091,1972,51,25115,La Porte
47,18093,670,31,7732,Lawrence
48,18095,2111,84,23697,Madison
49,18097,23852,776,229121,Marion
50,18099,1239,26,12782,Marshall
51,18101,186,0,1790,Martin
52,18103,521,4,7736,Miami
53,18105,3087,38,49523,Monroe
54,18107,540,22,7678,Montgomery
55,18109,867,40,12271,Morgan
56,18111,192,11,1976,Newton
57,18113,1058,33,10060,Noble
58,18115,105,7,1269,Ohio
59,18117,360,24,3694,Orange
60,18119,190,1,4739,Owen
61,18121,187,2,2815,Parke
62,18123,263,13,4229,Perry
63,18125,294,9,2099,Pike
64,18127,2746,47,33473,Porter
65,18129,623,3,5161,Posey
66,18131,126,1,2305,Pulaski
67,18133,674,15,7385,Putnam
68,18135,299,8,4619,Randolph
69,18137,392,8,5866,Ripley
70,18139,178,4,3190,Rush
71,18141,8321,150,88116,St. Joseph
72,18143,486,13,5712,Scott
73,18145,742,29,8524,Shelby
74,18147,345,6,3315,Spencer
75,18149,355,7,4088,Starke
76,18151,544,9,5557,Steuben
77,18153,391,12,4299,Sullivan
78,18155,77,0,1730,Switzerland
79,18157,3311,13,61021,Tippecanoe
80,18159,257,23,2750,Tipton
81,18161,92,0,1547,Union
82,18163,5167,48,51108,Vanderburgh
83,18165,185,1,3066,Vermillion
84,18167,2322,31,24112,Vigo
85,18169,344,9,5488,Wabash
86,18171,60,1,1022,Warren
87,18173,1774,59,15806,Warrick
88,18175,322,2,4081,Washington
89,18177,1062,18,16089,Wayne
90,18179,379,5,4898,Wells
91,18181,540,15,5961,White
92,18183,390,6,5180,Whitley
