_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,42,1,1190
2,ALLEN,2547,100,23817
3,BARTHOLOMEW,575,43,5993
4,BENTON,45,0,532
5,BLACKFORD,35,2,762
6,BOONE,406,41,4556
7,BROWN,37,1,507
8,CARROLL,109,2,1484
9,CASS,1638,9,5076
10,CLARK,607,44,6464
11,CLAY,56,4,1514
12,CLINTON,275,1,3532
13,CRAWFORD,27,0,546
14,DAVIESS,132,16,1645
15,DEARBORN,195,22,2325
16,DECATUR,241,32,1918
17,DEKALB,148,4,1935
18,DELAWARE,414,47,6917
19,DUBOIS,255,6,2639
20,ELKHART,2864,41,20260
21,FAYETTE,90,7,1404
22,FLOYD,354,43,4487
23,FOUNTAIN,25,2,907
24,FRANKLIN,124,8,821
25,FULTON,64,1,1159
26,GIBSON,29,2,1538
27,GRANT,287,26,4266
28,GREENE,185,29,1908
29,HAMILTON,1417,97,24452
30,HANCOCK,397,35,5681
31,HARRISON,203,22,2048
32,HENDRICKS,1348,97,10668
33,HENRY,216,15,3489
34,HOWARD,527,51,5397
35,HUNTINGTON,65,2,2015
36,JACKSON,443,3,3213
37,JASPER,101,2,2308
38,JAY,65,0,946
39,JEFFERSON,58,1,2066
40,JENNINGS,164,9,1452
41,JOHNSON,1212,117,11016
42,KNOX,53,0,1679
43,KOSCIUSKO,438,2,4646
44,LAGRANGE,430,6,1933
45,LAKE,4650,238,36543
46,LAPORTE,510,25,6976
47,LAWRENCE,209,24,2655
48,MADISON,632,63,6871
49,MARION,11104,676,79726
50,MARSHALL,393,3,3896
51,MARTIN,22,0,436
52,MIAMI,176,2,2342
53,MONROE,221,28,6712
54,MONTGOMERY,283,19,2591
55,MORGAN,309,31,4181
56,NEWTON,90,10,648
57,NOBLE,404,28,3717
58,OHIO,14,0,252
59,ORANGE,133,23,1106
60,OWEN,41,1,1324
61,PARKE,22,0,734
62,PERRY,117,5,1237
63,PIKE,6,0,544
64,PORTER,654,36,8875
65,POSEY,28,0,861
66,PULASKI,58,1,872
67,PUTNAM,162,8,2406
68,RANDOLPH,75,4,1486
69,RIPLEY,112,7,1789
70,RUSH,53,3,1079
71,SCOTT,153,6,2346
72,SHELBY,409,25,3706
73,SPENCER,28,1,806
74,ST JOSEPH,1780,60,24172
75,STARKE,63,3,1117
76,STEUBEN,116,2,1553
77,SULLIVAN,45,1,1409
78,SWITZERLAND,22,0,465
79,TIPPECANOE,579,8,11502
80,TIPTON,29,1,774
81,UNION,13,0,409
82,VANDERBURGH,376,6,10907
83,VERMILLION,13,0,698
84,VIGO,216,8,5704
85,WABASH,101,2,1925
86,WARREN,14,1,284
87,WARRICK,183,29,2901
88,WASHINGTON,63,1,1110
89,WAYNE,119,6,4170
90,WELLS,66,1,1437
91,WHITE,256,10,2234
92,WHITLEY,75,4,1291
