_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,28,1,889
2,ALLEN,2261,87,18774
3,BARTHOLOMEW,558,42,3011
4,BENTON,38,0,411
5,BLACKFORD,29,2,567
6,BOONE,382,38,3684
7,BROWN,36,1,312
8,CARROLL,102,2,1231
9,CASS,1608,9,4380
10,CLARK,577,42,5233
11,CLAY,56,3,1280
12,CLINTON,261,1,3056
13,CRAWFORD,27,0,405
14,DAVIESS,126,16,1354
15,DEARBORN,180,22,1777
16,DECATUR,237,32,1471
17,DEKALB,123,3,1422
18,DELAWARE,402,44,5640
19,DUBOIS,242,5,2031
20,ELKHART,2248,35,15756
21,FAYETTE,84,7,1137
22,FLOYD,337,42,3531
23,FOUNTAIN,24,2,685
24,FRANKLIN,120,8,676
25,FULTON,56,1,848
26,GIBSON,24,2,1026
27,GRANT,264,24,3145
28,GREENE,181,29,1523
29,HAMILTON,1368,96,19686
30,HANCOCK,381,29,4756
31,HARRISON,199,22,1667
32,HENDRICKS,1281,92,8623
33,HENRY,204,14,2733
34,HOWARD,476,47,4415
35,HUNTINGTON,55,2,1442
36,JACKSON,421,2,2373
37,JASPER,85,1,1925
38,JAY,62,0,722
39,JEFFERSON,53,1,1781
40,JENNINGS,142,4,854
41,JOHNSON,1174,115,9100
42,KNOX,37,0,1165
43,KOSCIUSKO,330,2,3293
44,LAGRANGE,294,2,1236
45,LAKE,4211,230,30593
46,LAPORTE,471,24,5680
47,LAWRENCE,182,24,2005
48,MADISON,615,62,5496
49,MARION,10834,654,69359
50,MARSHALL,315,3,2978
51,MARTIN,16,0,330
52,MIAMI,176,1,1837
53,MONROE,190,18,5253
54,MONTGOMERY,267,19,2070
55,MORGAN,300,29,3498
56,NEWTON,88,10,522
57,NOBLE,341,27,2707
58,OHIO,13,0,211
59,ORANGE,132,23,908
60,OWEN,37,1,1123
61,PARKE,20,0,555
62,PERRY,92,1,936
63,PIKE,6,0,288
64,PORTER,593,34,6734
65,POSEY,20,0,601
66,PULASKI,53,1,664
67,PUTNAM,159,8,1898
68,RANDOLPH,68,3,1092
69,RIPLEY,111,6,1293
70,RUSH,51,3,843
71,SCOTT,146,3,1982
72,SHELBY,408,23,3181
73,SPENCER,23,1,543
74,ST JOSEPH,1571,51,19107
75,STARKE,54,3,818
76,STEUBEN,106,2,1291
77,SULLIVAN,41,1,1166
78,SWITZERLAND,22,0,348
79,TIPPECANOE,492,5,9250
80,TIPTON,28,1,634
81,UNION,12,0,318
82,VANDERBURGH,329,5,8373
83,VERMILLION,12,0,493
84,VIGO,201,8,4262
85,WABASH,88,2,1332
86,WARREN,14,1,220
87,WARRICK,176,29,2245
88,WASHINGTON,58,1,779
89,WAYNE,103,6,2981
90,WELLS,62,0,1149
91,WHITE,242,10,1803
92,WHITLEY,64,3,970
