_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,50,1,1316
2,ALLEN,2737,129,26941
3,BARTHOLOMEW,582,44,6639
4,BENTON,48,0,577
5,BLACKFORD,37,2,860
6,BOONE,437,43,5166
7,BROWN,38,1,562
8,CARROLL,110,2,1641
9,CASS,1638,9,5440
10,CLARK,640,44,7351
11,CLAY,60,4,1684
12,CLINTON,288,2,3770
13,CRAWFORD,30,0,602
14,DAVIESS,142,16,1835
15,DEARBORN,228,23,2978
16,DECATUR,249,32,2139
17,DEKALB,160,4,2242
18,DELAWARE,431,50,7706
19,DUBOIS,266,6,3017
20,ELKHART,3211,44,23336
21,FAYETTE,98,7,1642
22,FLOYD,371,44,5193
23,FOUNTAIN,30,2,986
24,FRANKLIN,124,8,895
25,FULTON,69,1,1284
26,GIBSON,67,2,1897
27,GRANT,291,26,4758
28,GREENE,185,32,2090
29,HAMILTON,1538,100,27416
30,HANCOCK,440,35,6498
31,HARRISON,212,22,2351
32,HENDRICKS,1390,100,11789
33,HENRY,258,15,3991
34,HOWARD,565,57,5921
35,HUNTINGTON,74,2,2378
36,JACKSON,469,3,3676
37,JASPER,114,2,2505
38,JAY,68,0,1057
39,JEFFERSON,72,2,2359
40,JENNINGS,174,11,1579
41,JOHNSON,1256,118,12128
42,KNOX,64,0,1989
43,KOSCIUSKO,535,4,5486
44,LAGRANGE,467,7,2117
45,LAKE,5104,242,41294
46,LAPORTE,563,26,7790
47,LAWRENCE,242,25,3152
48,MADISON,655,64,7511
49,MARION,11546,683,88484
50,MARSHALL,482,3,4445
51,MARTIN,22,0,490
52,MIAMI,182,2,2578
53,MONROE,276,28,8264
54,MONTGOMERY,293,20,2880
55,MORGAN,327,31,4589
56,NEWTON,98,10,703
57,NOBLE,469,28,4339
58,OHIO,14,0,284
59,ORANGE,136,23,1201
60,OWEN,47,1,1590
61,PARKE,22,0,821
62,PERRY,127,9,1421
63,PIKE,10,0,593
64,PORTER,720,37,10123
65,POSEY,38,0,1087
66,PULASKI,64,1,985
67,PUTNAM,168,8,2689
68,RANDOLPH,78,4,1686
69,RIPLEY,115,7,1999
70,RUSH,56,3,1182
71,SCOTT,160,7,2535
72,SHELBY,423,25,3952
73,SPENCER,37,1,913
74,ST JOSEPH,1908,66,26899
75,STARKE,92,3,1304
76,STEUBEN,128,2,1792
77,SULLIVAN,44,1,1517
78,SWITZERLAND,26,0,505
79,TIPPECANOE,694,8,13065
80,TIPTON,30,1,890
81,UNION,13,0,471
82,VANDERBURGH,502,6,12904
83,VERMILLION,14,0,795
84,VIGO,231,8,6693
85,WABASH,112,2,2373
86,WARREN,14,1,315
87,WARRICK,212,29,3465
88,WASHINGTON,68,1,1320
89,WAYNE,136,6,4941
90,WELLS,71,1,1641
91,WHITE,260,10,2516
92,WHITLEY,90,5,1515
