_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,39,1,1174
2,ALLEN,2507,97,23444
3,BARTHOLOMEW,572,43,5848
4,BENTON,44,0,522
5,BLACKFORD,33,2,740
6,BOONE,402,41,4514
7,BROWN,37,1,492
8,CARROLL,104,2,1452
9,CASS,1629,9,4802
10,CLARK,605,44,6339
11,CLAY,56,4,1494
12,CLINTON,274,1,3496
13,CRAWFORD,27,0,530
14,DAVIESS,132,16,1620
15,DEARBORN,193,22,2290
16,DECATUR,241,32,1884
17,DEKALB,146,4,1878
18,DELAWARE,413,47,6815
19,DUBOIS,255,6,2598
20,ELKHART,2805,41,19894
21,FAYETTE,88,7,1370
22,FLOYD,350,43,4412
23,FOUNTAIN,25,2,887
24,FRANKLIN,122,8,810
25,FULTON,64,1,1125
26,GIBSON,29,2,1523
27,GRANT,280,26,3949
28,GREENE,184,29,1776
29,HAMILTON,1411,97,23916
30,HANCOCK,397,35,5459
31,HARRISON,203,22,1975
32,HENDRICKS,1346,97,10455
33,HENRY,215,15,3419
34,HOWARD,524,50,5130
35,HUNTINGTON,64,2,1972
36,JACKSON,442,3,3146
37,JASPER,100,2,2271
38,JAY,65,0,936
39,JEFFERSON,58,1,2061
40,JENNINGS,164,9,1423
41,JOHNSON,1205,117,10802
42,KNOX,54,0,1664
43,KOSCIUSKO,432,2,4551
44,LAGRANGE,420,6,1894
45,LAKE,4596,238,35986
46,LAPORTE,502,25,6839
47,LAWRENCE,204,24,2577
48,MADISON,624,63,6739
49,MARION,11042,675,78418
50,MARSHALL,385,3,3777
51,MARTIN,22,0,422
52,MIAMI,176,2,2267
53,MONROE,219,28,6537
54,MONTGOMERY,277,19,2515
55,MORGAN,308,30,4098
56,NEWTON,90,10,636
57,NOBLE,392,28,3590
58,OHIO,14,0,249
59,ORANGE,133,23,1088
60,OWEN,41,1,1301
61,PARKE,21,0,712
62,PERRY,112,4,1210
63,PIKE,6,0,484
64,PORTER,635,36,8728
65,POSEY,27,0,795
66,PULASKI,54,1,841
67,PUTNAM,159,8,2306
68,RANDOLPH,74,4,1464
69,RIPLEY,111,7,1765
70,RUSH,52,3,1059
71,SCOTT,154,6,2323
72,SHELBY,409,24,3654
73,SPENCER,28,1,791
74,ST JOSEPH,1740,59,23553
75,STARKE,63,3,1097
76,STEUBEN,113,2,1532
77,SULLIVAN,41,1,1391
78,SWITZERLAND,22,0,462
79,TIPPECANOE,555,8,11242
80,TIPTON,28,1,757
81,UNION,13,0,388
82,VANDERBURGH,369,6,10679
83,VERMILLION,13,0,680
84,VIGO,214,8,5575
85,WABASH,99,2,1896
86,WARREN,14,1,282
87,WARRICK,182,29,2819
88,WASHINGTON,62,1,1069
89,WAYNE,115,6,4055
90,WELLS,66,1,1418
91,WHITE,249,10,2167
92,WHITLEY,74,4,1267
