_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,148,2,2541,Adams
2,18003,4421,171,44239,Allen
3,18005,950,49,12302,Bartholomew
4,18007,72,0,1164,Benton
5,18009,68,2,1405,Blackford
6,18011,757,46,9842,Boone
7,18013,81,2,1553,Brown
8,18015,239,9,2621,Carroll
9,18017,1828,9,7534,Cass
10,18019,1497,50,16257,Clark
11,18021,188,5,3155,Clay
12,18023,485,6,6284,Clinton
13,18025,54,0,1160,Crawford
14,18027,360,22,3484,Daviess
15,18029,544,28,7007,Dearborn
16,18031,361,32,3811,Decatur
17,18033,267,4,3922,De Kalb
18,18035,831,53,14220,Delaware
19,18037,772,16,6040,Dubois
20,18039,5238,93,39561,Elkhart
21,18041,252,8,3278,Fayette
22,18043,937,54,10578,Floyd
23,18045,81,2,1860,Fountain
24,18047,256,22,1743,Franklin
25,18049,186,2,2418,Fulton
26,18051,268,4,3911,Gibson
27,18053,554,30,8405,Grant
28,18055,302,35,4041,Greene
29,18057,3308,106,53111,Hamilton
30,18059,735,41,12214,Hancock
31,18061,404,24,4960,Harrison
32,18063,2071,110,21005,Hendricks
33,18065,523,21,6744,Henry
34,18067,998,61,11938,Howard
35,18069,140,3,4292,Huntington
36,18071,642,7,5786,Jackson
37,18073,283,2,4298,Jasper
38,18075,108,0,1774,Jay
39,18077,191,2,4032,Jefferson
40,18079,240,12,2728,Jennings
41,18081,1885,120,21387,Johnson
42,18083,250,3,3555,Knox
43,18085,899,12,9944,Kosciusko
44,18087,575,10,2818,Lagrange
45,18089,8355,288,73128,Lake
46,18091,1042,30,15909,La Porte
47,18093,373,27,5196,Lawrence
48,18095,1146,67,14049,Madison
49,18097,17068,742,150508,Marion
50,18099,827,23,8073,Marshall
51,18101,61,0,933,Martin
52,18103,291,2,4606,Miami
53,18105,822,35,19240,Monroe
54,18107,376,21,4898,Montgomery
55,18109,527,35,7952,Morgan
56,18111,123,10,1131,Newton
57,18113,749,30,6853,Noble
58,18115,68,7,961,Ohio
59,18117,198,24,2275,Orange
60,18119,123,1,3009,Owen
61,18121,71,1,1557,Parke
62,18123,196,13,3042,Perry
63,18125,77,0,1203,Pike
64,18127,1505,39,20768,Porter
65,18129,192,0,2874,Posey
66,18131,90,1,1456,Pulaski
67,18133,386,8,4674,Putnam
68,18135,140,6,2795,Randolph
69,18137,229,8,3944,Ripley
70,18139,120,4,2162,Rush
71,18141,4041,87,52175,St. Joseph
72,18143,294,10,3964,Scott
73,18145,596,28,5966,Shelby
74,18147,143,3,2143,Spencer
75,18149,185,7,2602,Starke
76,18151,231,3,3201,Steuben
77,18153,222,2,2788,Sullivan
78,18155,62,0,1157,Switzerland
79,18157,1383,12,26577,Tippecanoe
80,18159,167,18,1741,Tipton
81,18161,48,0,957,Union
82,18163,2252,17,31851,Vanderburgh
83,18165,69,0,1678,Vermillion
84,18167,929,14,13843,Vigo
85,18169,190,5,3627,Wabash
86,18171,31,1,580,Warren
87,18173,652,30,9347,Warrick
88,18175,167,1,2601,Washington
89,18177,449,10,10640,Wayne
90,18179,185,2,2969,Wells
91,18181,399,11,4112,White
92,18183,177,6,2834,Whitley
