_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,45,1,1246
2,ALLEN,2621,106,25265
3,BARTHOLOMEW,578,44,6261
4,BENTON,46,0,548
5,BLACKFORD,35,2,805
6,BOONE,416,41,4725
7,BROWN,38,1,533
8,CARROLL,107,2,1512
9,CASS,1636,9,5269
10,CLARK,614,44,6861
11,CLAY,59,4,1584
12,CLINTON,278,1,3593
13,CRAWFORD,28,0,564
14,DAVIESS,135,16,1718
15,DEARBORN,199,22,2562
16,DECATUR,242,32,1977
17,DEKALB,156,4,2053
18,DELAWARE,423,48,7264
19,DUBOIS,258,6,2789
20,ELKHART,3003,42,21341
21,FAYETTE,95,7,1487
22,FLOYD,358,44,4782
23,FOUNTAIN,28,2,934
24,FRANKLIN,124,8,851
25,FULTON,65,1,1197
26,GIBSON,36,2,1629
27,GRANT,283,26,4502
28,GREENE,183,31,1970
29,HAMILTON,1447,98,25299
30,HANCOCK,413,35,5953
31,HARRISON,206,22,2166
32,HENDRICKS,1361,99,11097
33,HENRY,232,15,3690
34,HOWARD,538,55,5584
35,HUNTINGTON,70,2,2213
36,JACKSON,451,3,3419
37,JASPER,107,2,2390
38,JAY,66,0,990
39,JEFFERSON,63,1,2180
40,JENNINGS,170,9,1499
41,JOHNSON,1231,117,11398
42,KNOX,59,0,1821
43,KOSCIUSKO,477,2,4976
44,LAGRANGE,449,6,2042
45,LAKE,4781,239,38281
46,LAPORTE,522,25,7249
47,LAWRENCE,218,24,2816
48,MADISON,642,63,7106
49,MARION,11279,677,83428
50,MARSHALL,407,3,4098
51,MARTIN,24,0,454
52,MIAMI,180,2,2439
53,MONROE,237,28,7306
54,MONTGOMERY,284,20,2705
55,MORGAN,316,31,4321
56,NEWTON,93,10,670
57,NOBLE,431,28,3954
58,OHIO,14,0,261
59,ORANGE,133,23,1145
60,OWEN,43,1,1406
61,PARKE,22,0,778
62,PERRY,119,7,1316
63,PIKE,6,0,564
64,PORTER,676,36,9338
65,POSEY,30,0,965
66,PULASKI,55,1,885
67,PUTNAM,164,8,2551
68,RANDOLPH,75,4,1565
69,RIPLEY,112,7,1870
70,RUSH,53,3,1120
71,SCOTT,154,6,2419
72,SHELBY,413,25,3810
73,SPENCER,30,1,840
74,ST JOSEPH,1819,65,25280
75,STARKE,67,3,1156
76,STEUBEN,121,2,1667
77,SULLIVAN,45,1,1445
78,SWITZERLAND,23,0,480
79,TIPPECANOE,624,8,12114
80,TIPTON,30,1,819
81,UNION,13,0,429
82,VANDERBURGH,407,6,11705
83,VERMILLION,13,0,742
84,VIGO,220,8,6151
85,WABASH,106,2,2069
86,WARREN,14,1,298
87,WARRICK,194,29,3064
88,WASHINGTON,63,1,1215
89,WAYNE,126,6,4425
90,WELLS,67,1,1539
91,WHITE,255,10,2328
92,WHITLEY,79,4,1394
