_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,27,1,874
2,ALLEN,2224,85,18297
3,BARTHOLOMEW,554,41,2969
4,BENTON,37,0,404
5,BLACKFORD,29,2,557
6,BOONE,386,38,3621
7,BROWN,36,1,305
8,CARROLL,101,2,1218
9,CASS,1606,9,4353
10,CLARK,568,42,5101
11,CLAY,56,3,1267
12,CLINTON,262,1,3023
13,CRAWFORD,27,0,401
14,DAVIESS,123,16,1291
15,DEARBORN,179,22,1734
16,DECATUR,237,32,1447
17,DEKALB,121,3,1332
18,DELAWARE,402,44,5553
19,DUBOIS,241,4,2017
20,ELKHART,2168,34,14835
21,FAYETTE,84,7,1115
22,FLOYD,335,42,3458
23,FOUNTAIN,24,2,667
24,FRANKLIN,120,8,669
25,FULTON,55,1,816
26,GIBSON,24,2,1013
27,GRANT,262,24,3070
28,GREENE,181,29,1452
29,HAMILTON,1357,96,19427
30,HANCOCK,386,29,4725
31,HARRISON,198,22,1649
32,HENDRICKS,1276,92,8468
33,HENRY,204,14,2715
34,HOWARD,472,45,4295
35,HUNTINGTON,52,2,1377
36,JACKSON,419,2,2350
37,JASPER,84,1,1829
38,JAY,62,0,708
39,JEFFERSON,53,1,1749
40,JENNINGS,142,4,851
41,JOHNSON,1172,114,8970
42,KNOX,35,0,1094
43,KOSCIUSKO,311,2,3067
44,LAGRANGE,277,2,1196
45,LAKE,4172,230,30033
46,LAPORTE,470,24,5614
47,LAWRENCE,182,24,1980
48,MADISON,614,61,5434
49,MARION,10788,651,68357
50,MARSHALL,305,3,2887
51,MARTIN,16,0,306
52,MIAMI,170,1,1794
53,MONROE,188,18,5082
54,MONTGOMERY,266,19,2032
55,MORGAN,299,29,3426
56,NEWTON,88,10,507
57,NOBLE,337,27,2607
58,OHIO,13,0,205
59,ORANGE,132,23,900
60,OWEN,37,1,1073
61,PARKE,20,0,551
62,PERRY,92,1,920
63,PIKE,6,0,282
64,PORTER,589,34,6587
65,POSEY,19,0,593
66,PULASKI,53,1,647
67,PUTNAM,156,8,1867
68,RANDOLPH,68,3,1077
69,RIPLEY,109,6,1257
70,RUSH,51,3,834
71,SCOTT,144,3,1963
72,SHELBY,406,22,3152
73,SPENCER,23,1,531
74,ST JOSEPH,1552,50,18483
75,STARKE,52,3,797
76,STEUBEN,105,2,1275
77,SULLIVAN,41,1,1120
78,SWITZERLAND,22,0,335
79,TIPPECANOE,491,5,9047
80,TIPTON,28,1,623
81,UNION,12,0,305
82,VANDERBURGH,330,5,8269
83,VERMILLION,11,0,487
84,VIGO,200,8,4159
85,WABASH,88,2,1310
86,WARREN,14,1,218
87,WARRICK,175,29,2139
88,WASHINGTON,58,1,760
89,WAYNE,104,6,2854
90,WELLS,56,0,1112
91,WHITE,245,10,1780
92,WHITLEY,64,3,929
