_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,195,3,3515,Adams
2,18003,5294,182,54031,Allen
3,18005,1088,54,14607,Bartholomew
4,18007,84,0,1401,Benton
5,18009,83,2,1650,Blackford
6,18011,889,46,11657,Boone
7,18013,91,2,1715,Brown
8,18015,260,13,3061,Carroll
9,18017,1894,9,8683,Cass
10,18019,1873,53,19433,Clark
11,18021,250,5,4060,Clay
12,18023,570,11,7461,Clinton
13,18025,75,0,1463,Crawford
14,18027,542,24,4492,Daviess
15,18029,588,28,8098,Dearborn
16,18031,428,36,4478,Decatur
17,18033,373,7,4952,De Kalb
18,18035,1568,57,18278,Delaware
19,18037,873,17,7101,Dubois
20,18039,5814,99,44838,Elkhart
21,18041,375,10,4044,Fayette
22,18043,1143,57,12372,Floyd
23,18045,100,2,2340,Fountain
24,18047,281,25,2142,Franklin
25,18049,209,2,2855,Fulton
26,18051,343,4,4718,Gibson
27,18053,740,31,11214,Grant
28,18055,377,35,5029,Greene
29,18057,4201,107,63362,Hamilton
30,18059,846,42,14117,Hancock
31,18061,511,24,6262,Harrison
32,18063,2449,117,25053,Hendricks
33,18065,657,22,7794,Henry
34,18067,1146,62,14102,Howard
35,18069,181,3,5292,Huntington
36,18071,712,9,6728,Jackson
37,18073,341,2,5187,Jasper
38,18075,140,0,2173,Jay
39,18077,219,3,4893,Jefferson
40,18079,282,12,3306,Jennings
41,18081,2088,122,25401,Johnson
42,18083,384,6,4618,Knox
43,18085,1086,17,11513,Kosciusko
44,18087,617,11,3284,Lagrange
45,18089,9485,298,84525,Lake
46,18091,1229,37,18848,La Porte
47,18093,480,27,6076,Lawrence
48,18095,1402,74,17284,Madison
49,18097,19196,750,175576,Marion
50,18099,927,23,10160,Marshall
51,18101,127,0,1336,Martin
52,18103,343,2,5879,Miami
53,18105,1434,36,28593,Monroe
54,18107,465,21,6034,Montgomery
55,18109,621,35,9362,Morgan
56,18111,151,10,1416,Newton
57,18113,835,31,8099,Noble
58,18115,74,7,1074,Ohio
59,18117,260,24,2959,Orange
60,18119,154,1,3727,Owen
61,18121,82,2,1959,Parke
62,18123,198,14,3436,Perry
63,18125,113,1,1523,Pike
64,18127,1839,42,25216,Porter
65,18129,231,0,3514,Posey
66,18131,104,1,1821,Pulaski
67,18133,459,8,5710,Putnam
68,18135,190,7,3338,Randolph
69,18137,252,8,4522,Ripley
70,18139,137,4,2601,Rush
71,18141,5432,95,64553,St. Joseph
72,18143,323,10,4580,Scott
73,18145,637,28,6882,Shelby
74,18147,172,3,2486,Spencer
75,18149,215,7,3052,Starke
76,18151,315,6,4159,Steuben
77,18153,308,10,3359,Sullivan
78,18155,64,0,1390,Switzerland
79,18157,1736,13,35873,Tippecanoe
80,18159,200,22,2083,Tipton
81,18161,68,0,1248,Union
82,18163,2753,23,37165,Vanderburgh
83,18165,109,0,2206,Vermillion
84,18167,1514,17,17968,Vigo
85,18169,229,6,4330,Wabash
86,18171,38,1,765,Warren
87,18173,852,31,11394,Warrick
88,18175,239,1,3263,Washington
89,18177,638,10,12671,Wayne
90,18179,222,2,3634,Wells
91,18181,463,13,4851,White
92,18183,229,6,3595,Whitley
