_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,28,1,941
2,ALLEN,2331,91,20114
3,BARTHOLOMEW,566,43,3195
4,BENTON,38,0,471
5,BLACKFORD,32,2,615
6,BOONE,381,39,4134
7,BROWN,37,1,365
8,CARROLL,103,2,1284
9,CASS,1613,9,4475
10,CLARK,586,43,5670
11,CLAY,56,3,1379
12,CLINTON,268,1,3301
13,CRAWFORD,27,0,429
14,DAVIESS,129,16,1458
15,DEARBORN,184,22,1967
16,DECATUR,238,32,1613
17,DEKALB,133,3,1640
18,DELAWARE,407,45,6207
19,DUBOIS,249,6,2121
20,ELKHART,2477,38,17344
21,FAYETTE,85,7,1239
22,FLOYD,342,43,3816
23,FOUNTAIN,24,2,828
24,FRANKLIN,120,8,715
25,FULTON,60,1,910
26,GIBSON,25,2,1297
27,GRANT,272,25,3392
28,GREENE,183,29,1632
29,HAMILTON,1359,96,21959
30,HANCOCK,385,31,5018
31,HARRISON,200,22,1748
32,HENDRICKS,1296,94,9400
33,HENRY,205,15,2927
34,HOWARD,494,48,4704
35,HUNTINGTON,58,2,1670
36,JACKSON,427,3,2477
37,JASPER,89,1,2085
38,JAY,63,0,773
39,JEFFERSON,55,1,1902
40,JENNINGS,158,4,912
41,JOHNSON,1185,116,9696
42,KNOX,40,0,1493
43,KOSCIUSKO,362,2,3552
44,LAGRANGE,354,3,1501
45,LAKE,4326,233,32291
46,LAPORTE,482,25,6091
47,LAWRENCE,187,24,2154
48,MADISON,618,63,5831
49,MARION,10885,665,73403
50,MARSHALL,344,3,3348
51,MARTIN,20,0,352
52,MIAMI,177,1,1955
53,MONROE,207,26,5829
54,MONTGOMERY,270,19,2323
55,MORGAN,301,30,3694
56,NEWTON,87,10,597
57,NOBLE,358,27,3045
58,OHIO,13,0,227
59,ORANGE,132,23,935
60,OWEN,39,1,1185
61,PARKE,20,0,635
62,PERRY,101,2,1057
63,PIKE,6,0,322
64,PORTER,611,36,7370
65,POSEY,23,0,664
66,PULASKI,53,1,719
67,PUTNAM,158,8,2019
68,RANDOLPH,71,3,1195
69,RIPLEY,111,7,1393
70,RUSH,51,3,920
71,SCOTT,147,6,2053
72,SHELBY,408,24,3330
73,SPENCER,24,1,596
74,ST JOSEPH,1628,53,20932
75,STARKE,58,3,896
76,STEUBEN,108,2,1389
77,SULLIVAN,41,1,1287
78,SWITZERLAND,22,0,408
79,TIPPECANOE,510,7,10047
80,TIPTON,28,1,689
81,UNION,12,0,359
82,VANDERBURGH,337,6,9051
83,VERMILLION,13,0,546
84,VIGO,207,8,4679
85,WABASH,89,2,1406
86,WARREN,14,1,264
87,WARRICK,178,29,2446
88,WASHINGTON,61,1,835
89,WAYNE,107,6,3484
90,WELLS,65,0,1242
91,WHITE,245,10,1966
92,WHITLEY,69,4,1059
