_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,96,2,2003,Adams
2,18003,3835,163,39286,Allen
3,18005,780,47,10479,Bartholomew
4,18007,61,0,954,Benton
5,18009,63,2,1272,Blackford
6,18011,672,46,8672,Boone
7,18013,73,1,1400,Brown
8,18015,185,2,2294,Carroll
9,18017,1786,9,7008,Cass
10,18019,1202,47,13566,Clark
11,18021,116,5,2552,Clay
12,18023,430,3,5518,Clinton
13,18025,44,0,937,Crawford
14,18027,264,20,2993,Daviess
15,18029,496,28,6165,Dearborn
16,18031,335,32,3268,Decatur
17,18033,230,4,3445,De Kalb
18,18035,714,52,12351,Delaware
19,18037,687,12,5331,Dubois
20,18039,4801,84,36471,Elkhart
21,18041,186,7,2809,Fayette
22,18043,772,46,9149,Floyd
23,18045,73,2,1629,Fountain
24,18047,241,14,1571,Franklin
25,18049,164,2,2158,Fulton
26,18051,221,4,3396,Gibson
27,18053,526,30,7373,Grant
28,18055,246,34,3535,Greene
29,18057,2723,104,45564,Hamilton
30,18059,647,38,10314,Hancock
31,18061,327,23,4075,Harrison
32,18063,1871,108,18113,Hendricks
33,18065,376,20,5909,Henry
34,18067,884,65,10153,Howard
35,18069,122,3,3636,Huntington
36,18071,585,5,5112,Jackson
37,18073,234,2,3753,Jasper
38,18075,91,0,1527,Jay
39,18077,160,2,3637,Jefferson
40,18079,224,12,2338,Jennings
41,18081,1741,118,18687,Johnson
42,18083,151,0,3068,Knox
43,18085,847,12,9333,Kosciusko
44,18087,557,10,2625,Lagrange
45,18089,7496,275,65069,Lake
46,18091,894,30,13989,La Porte
47,18093,342,27,4692,Lawrence
48,18095,943,65,11800,Madison
49,18097,15701,725,133212,Marion
50,18099,774,22,7334,Marshall
51,18101,43,0,772,Martin
52,18103,269,2,4006,Miami
53,18105,746,30,16933,Monroe
54,18107,352,21,4289,Montgomery
55,18109,467,34,6937,Morgan
56,18111,118,10,1030,Newton
57,18113,663,29,6238,Noble
58,18115,63,5,870,Ohio
59,18117,169,24,1923,Orange
60,18119,87,1,2601,Owen
61,18121,51,1,1311,Parke
62,18123,184,12,2777,Perry
63,18125,53,0,1024,Pike
64,18127,1294,39,17617,Porter
65,18129,170,0,2524,Posey
66,18131,79,1,1356,Pulaski
67,18133,286,8,3893,Putnam
68,18135,118,4,2491,Randolph
69,18137,199,7,3515,Ripley
70,18139,76,4,1744,Rush
71,18141,3423,81,46520,St. Joseph
72,18143,266,10,3646,Scott
73,18145,546,27,5193,Shelby
74,18147,131,3,1906,Spencer
75,18149,177,7,2350,Starke
76,18151,207,3,2794,Steuben
77,18153,113,1,2270,Sullivan
78,18155,46,0,1016,Switzerland
79,18157,1189,11,22416,Tippecanoe
80,18159,137,9,1486,Tipton
81,18161,39,0,817,Union
82,18163,1922,13,27980,Vanderburgh
83,18165,49,0,1365,Vermillion
84,18167,619,10,11258,Vigo
85,18169,165,3,3266,Wabash
86,18171,22,1,484,Warren
87,18173,579,30,8109,Warrick
88,18175,139,1,2208,Washington
89,18177,368,10,9149,Wayne
90,18179,162,2,2748,Wells
91,18181,361,10,3651,White
92,18183,151,6,2458,Whitley
