_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,36,1,996
2,ALLEN,2427,95,21679
3,BARTHOLOMEW,566,43,3349
4,BENTON,43,0,503
5,BLACKFORD,32,2,693
6,BOONE,393,40,4322
7,BROWN,37,1,392
8,CARROLL,103,2,1408
9,CASS,1625,9,4691
10,CLARK,592,43,6100
11,CLAY,56,3,1454
12,CLINTON,273,1,3429
13,CRAWFORD,27,0,466
14,DAVIESS,132,16,1535
15,DEARBORN,189,22,2163
16,DECATUR,239,32,1699
17,DEKALB,139,4,1799
18,DELAWARE,407,47,6557
19,DUBOIS,252,6,2451
20,ELKHART,2625,38,18474
21,FAYETTE,85,7,1279
22,FLOYD,345,43,4240
23,FOUNTAIN,24,2,860
24,FRANKLIN,121,8,786
25,FULTON,62,1,1020
26,GIBSON,27,2,1425
27,GRANT,278,26,3775
28,GREENE,184,29,1725
29,HAMILTON,1374,97,22840
30,HANCOCK,393,33,5266
31,HARRISON,200,22,1905
32,HENDRICKS,1320,94,9998
33,HENRY,210,15,3243
34,HOWARD,500,49,4939
35,HUNTINGTON,61,2,1865
36,JACKSON,430,3,2761
37,JASPER,92,2,2199
38,JAY,64,0,868
39,JEFFERSON,56,1,1934
40,JENNINGS,163,9,1009
41,JOHNSON,1200,117,10333
42,KNOX,46,0,1584
43,KOSCIUSKO,390,2,4104
44,LAGRANGE,396,6,1797
45,LAKE,4437,235,33918
46,LAPORTE,489,25,6397
47,LAWRENCE,196,24,2307
48,MADISON,621,63,6250
49,MARION,10962,669,76960
50,MARSHALL,365,3,3553
51,MARTIN,21,0,386
52,MIAMI,177,2,2086
53,MONROE,209,26,6259
54,MONTGOMERY,273,19,2426
55,MORGAN,305,30,3881
56,NEWTON,89,10,620
57,NOBLE,374,27,3362
58,OHIO,13,0,243
59,ORANGE,132,23,978
60,OWEN,40,1,1255
61,PARKE,20,0,666
62,PERRY,107,3,1144
63,PIKE,6,0,453
64,PORTER,622,36,7956
65,POSEY,26,0,731
66,PULASKI,54,1,754
67,PUTNAM,159,8,2121
68,RANDOLPH,72,3,1289
69,RIPLEY,112,7,1662
70,RUSH,52,3,983
71,SCOTT,149,6,2229
72,SHELBY,407,24,3435
73,SPENCER,25,1,676
74,ST JOSEPH,1677,57,22171
75,STARKE,60,3,953
76,STEUBEN,110,2,1469
77,SULLIVAN,41,1,1355
78,SWITZERLAND,22,0,429
79,TIPPECANOE,539,7,10865
80,TIPTON,28,1,729
81,UNION,12,0,376
82,VANDERBURGH,343,6,9877
83,VERMILLION,13,0,574
84,VIGO,212,8,5365
85,WABASH,95,2,1747
86,WARREN,14,1,276
87,WARRICK,181,29,2605
88,WASHINGTON,62,1,919
89,WAYNE,110,6,3655
90,WELLS,65,1,1351
91,WHITE,249,10,2115
92,WHITLEY,72,4,1190
