_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,28,1,924
2,ALLEN,2324,91,19760
3,BARTHOLOMEW,562,42,3121
4,BENTON,38,0,463
5,BLACKFORD,32,2,603
6,BOONE,380,39,4071
7,BROWN,37,1,357
8,CARROLL,103,2,1258
9,CASS,1609,9,4439
10,CLARK,585,43,5535
11,CLAY,56,3,1354
12,CLINTON,264,1,3253
13,CRAWFORD,27,0,413
14,DAVIESS,127,16,1413
15,DEARBORN,181,22,1865
16,DECATUR,238,32,1603
17,DEKALB,129,3,1560
18,DELAWARE,405,44,6079
19,DUBOIS,246,5,2078
20,ELKHART,2400,36,16867
21,FAYETTE,85,7,1197
22,FLOYD,339,43,3708
23,FOUNTAIN,24,2,812
24,FRANKLIN,120,8,706
25,FULTON,58,1,888
26,GIBSON,24,2,1124
27,GRANT,269,24,3296
28,GREENE,182,29,1605
29,HAMILTON,1349,96,21755
30,HANCOCK,382,30,4957
31,HARRISON,201,22,1706
32,HENDRICKS,1286,93,9011
33,HENRY,204,15,2861
34,HOWARD,492,47,4629
35,HUNTINGTON,57,2,1629
36,JACKSON,428,3,2445
37,JASPER,87,1,2045
38,JAY,64,0,753
39,JEFFERSON,55,1,1891
40,JENNINGS,145,4,897
41,JOHNSON,1185,116,9499
42,KNOX,40,0,1468
43,KOSCIUSKO,354,2,3484
44,LAGRANGE,336,2,1460
45,LAKE,4297,232,31839
46,LAPORTE,479,25,5951
47,LAWRENCE,187,24,2118
48,MADISON,618,62,5739
49,MARION,10852,661,72314
50,MARSHALL,338,3,3246
51,MARTIN,20,0,349
52,MIAMI,177,1,1920
53,MONROE,203,23,5659
54,MONTGOMERY,268,19,2297
55,MORGAN,301,30,3644
56,NEWTON,88,10,589
57,NOBLE,354,27,2882
58,OHIO,13,0,215
59,ORANGE,132,23,929
60,OWEN,40,1,1173
61,PARKE,20,0,607
62,PERRY,101,1,1023
63,PIKE,6,0,300
64,PORTER,606,36,7162
65,POSEY,23,0,632
66,PULASKI,53,1,701
67,PUTNAM,159,8,1983
68,RANDOLPH,69,3,1176
69,RIPLEY,111,6,1353
70,RUSH,51,3,900
71,SCOTT,148,6,2028
72,SHELBY,408,24,3298
73,SPENCER,23,1,580
74,ST JOSEPH,1612,53,20369
75,STARKE,58,3,869
76,STEUBEN,107,2,1361
77,SULLIVAN,42,1,1263
78,SWITZERLAND,22,0,406
79,TIPPECANOE,506,7,9745
80,TIPTON,28,1,682
81,UNION,12,0,342
82,VANDERBURGH,336,5,8815
83,VERMILLION,13,0,536
84,VIGO,203,8,4520
85,WABASH,89,2,1375
86,WARREN,14,1,261
87,WARRICK,178,29,2388
88,WASHINGTON,60,1,817
89,WAYNE,104,6,3407
90,WELLS,65,0,1231
91,WHITE,242,10,1854
92,WHITLEY,65,3,1032
