_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,50,1,1352
2,ALLEN,2798,132,27710
3,BARTHOLOMEW,586,44,6780
4,BENTON,48,0,601
5,BLACKFORD,37,2,887
6,BOONE,445,43,5320
7,BROWN,39,1,573
8,CARROLL,110,2,1676
9,CASS,1638,9,5479
10,CLARK,655,44,7551
11,CLAY,60,4,1719
12,CLINTON,289,2,3851
13,CRAWFORD,32,0,636
14,DAVIESS,143,17,1888
15,DEARBORN,238,23,3193
16,DECATUR,250,32,2200
17,DEKALB,162,4,2287
18,DELAWARE,445,50,7978
19,DUBOIS,273,6,3121
20,ELKHART,3301,46,24001
21,FAYETTE,99,7,1686
22,FLOYD,381,44,5376
23,FOUNTAIN,32,2,1016
24,FRANKLIN,124,8,918
25,FULTON,72,1,1309
26,GIBSON,81,2,2075
27,GRANT,295,26,4877
28,GREENE,189,32,2160
29,HAMILTON,1563,101,28019
30,HANCOCK,450,35,6638
31,HARRISON,218,22,2424
32,HENDRICKS,1410,100,12157
33,HENRY,274,15,4122
34,HOWARD,577,57,6067
35,HUNTINGTON,81,2,2447
36,JACKSON,472,3,3781
37,JASPER,121,2,2558
38,JAY,68,0,1089
39,JEFFERSON,72,2,2377
40,JENNINGS,176,11,1619
41,JOHNSON,1288,118,12495
42,KNOX,64,0,2024
43,KOSCIUSKO,549,4,5577
44,LAGRANGE,470,9,2140
45,LAKE,5180,242,42204
46,LAPORTE,580,26,8028
47,LAWRENCE,246,25,3248
48,MADISON,659,64,7654
49,MARION,11682,684,90472
50,MARSHALL,490,4,4526
51,MARTIN,22,0,503
52,MIAMI,183,2,2618
53,MONROE,300,28,8670
54,MONTGOMERY,294,20,2958
55,MORGAN,329,31,4707
56,NEWTON,98,10,723
57,NOBLE,482,28,4437
58,OHIO,17,0,304
59,ORANGE,136,23,1251
60,OWEN,49,1,1646
61,PARKE,23,0,845
62,PERRY,129,9,1457
63,PIKE,11,0,616
64,PORTER,732,37,10393
65,POSEY,42,0,1177
66,PULASKI,66,1,1004
67,PUTNAM,169,8,2757
68,RANDOLPH,79,4,1712
69,RIPLEY,117,7,2045
70,RUSH,58,3,1206
71,SCOTT,162,7,2598
72,SHELBY,426,25,4004
73,SPENCER,38,1,942
74,ST JOSEPH,1964,66,27536
75,STARKE,93,3,1331
76,STEUBEN,129,2,1814
77,SULLIVAN,45,1,1541
78,SWITZERLAND,27,0,511
79,TIPPECANOE,726,8,13494
80,TIPTON,32,1,914
81,UNION,13,0,492
82,VANDERBURGH,548,6,13978
83,VERMILLION,14,0,813
84,VIGO,235,8,6868
85,WABASH,112,2,2420
86,WARREN,14,1,321
87,WARRICK,218,29,3813
88,WASHINGTON,67,1,1362
89,WAYNE,140,6,5112
90,WELLS,73,1,1670
91,WHITE,265,10,2565
92,WHITLEY,92,5,1578
