_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,25,1,759
2,ALLEN,2168,80,17284
3,BARTHOLOMEW,549,41,2877
4,BENTON,37,0,383
5,BLACKFORD,29,2,517
6,BOONE,358,37,3469
7,BROWN,36,1,289
8,CARROLL,98,2,1192
9,CASS,1597,9,4287
10,CLARK,565,42,4930
11,CLAY,56,3,1218
12,CLINTON,258,1,2900
13,CRAWFORD,27,0,392
14,DAVIESS,117,16,1059
15,DEARBORN,179,22,1667
16,DECATUR,236,32,1364
17,DEKALB,103,2,1202
18,DELAWARE,401,44,5268
19,DUBOIS,238,4,1957
20,ELKHART,2030,32,14366
21,FAYETTE,83,7,1050
22,FLOYD,333,42,3318
23,FOUNTAIN,23,2,634
24,FRANKLIN,119,8,651
25,FULTON,53,1,788
26,GIBSON,22,2,956
27,GRANT,259,24,2962
28,GREENE,177,28,1327
29,HAMILTON,1257,96,18867
30,HANCOCK,374,29,4533
31,HARRISON,198,22,1607
32,HENDRICKS,1266,90,8186
33,HENRY,201,14,2620
34,HOWARD,463,45,4054
35,HUNTINGTON,51,2,1299
36,JACKSON,416,2,2273
37,JASPER,82,1,1720
38,JAY,61,0,673
39,JEFFERSON,53,1,1548
40,JENNINGS,140,4,799
41,JOHNSON,1168,114,8740
42,KNOX,35,0,1037
43,KOSCIUSKO,294,2,2882
44,LAGRANGE,248,2,954
45,LAKE,4109,228,29181
46,LAPORTE,467,24,5357
47,LAWRENCE,176,24,1869
48,MADISON,612,61,5291
49,MARION,10619,647,66150
50,MARSHALL,287,3,2689
51,MARTIN,15,0,257
52,MIAMI,163,1,1707
53,MONROE,185,18,4635
54,MONTGOMERY,263,19,1930
55,MORGAN,297,29,3290
56,NEWTON,87,10,484
57,NOBLE,322,27,2417
58,OHIO,13,0,183
59,ORANGE,132,23,867
60,OWEN,37,1,1003
61,PARKE,20,0,536
62,PERRY,83,1,780
63,PIKE,6,0,263
64,PORTER,586,34,6329
65,POSEY,18,0,562
66,PULASKI,52,1,622
67,PUTNAM,154,8,1804
68,RANDOLPH,65,3,1004
69,RIPLEY,109,6,1231
70,RUSH,50,3,789
71,SCOTT,143,3,1907
72,SHELBY,405,22,3068
73,SPENCER,22,1,511
74,ST JOSEPH,1512,50,17745
75,STARKE,51,3,752
76,STEUBEN,103,2,1233
77,SULLIVAN,41,1,1067
78,SWITZERLAND,22,0,318
79,TIPPECANOE,479,5,8411
80,TIPTON,27,1,590
81,UNION,12,0,287
82,VANDERBURGH,323,4,7995
83,VERMILLION,11,0,468
84,VIGO,198,8,3939
85,WABASH,88,2,1254
86,WARREN,14,1,207
87,WARRICK,172,29,1858
88,WASHINGTON,56,1,730
89,WAYNE,98,6,2619
90,WELLS,53,0,1025
91,WHITE,242,9,1720
92,WHITLEY,61,3,845
