_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,523,7,5688,Adams
2,18003,8552,230,80360,Allen
3,18005,1469,58,19829,Bartholomew
4,18007,110,0,2072,Benton
5,18009,234,4,2638,Blackford
6,18011,1280,50,16153,Boone
7,18013,146,3,2251,Brown
8,18015,338,13,3957,Carroll
9,18017,2285,23,11059,Cass
10,18019,3031,63,28034,Clark
11,18021,458,7,5396,Clay
12,18023,903,16,9968,Clinton
13,18025,163,1,2170,Crawford
14,18027,913,34,6221,Daviess
15,18029,1017,28,10674,Dearborn
16,18031,525,39,5713,Decatur
17,18033,758,11,7405,De Kalb
18,18035,3076,75,26574,Delaware
19,18037,1455,26,9769,Dubois
20,18039,9156,137,60073,Elkhart
21,18041,739,18,5644,Fayette
22,18043,1858,68,18277,Floyd
23,18045,319,3,3491,Fountain
24,18047,381,25,2953,Franklin
25,18049,376,4,4226,Fulton
26,18051,928,12,6710,Gibson
27,18053,1310,39,15021,Grant
28,18055,573,38,6744,Greene
29,18057,6335,114,87941,Hamilton
30,18059,1231,44,19201,Hancock
31,18061,799,24,8704,Harrison
32,18063,3367,134,35300,Hendricks
33,18065,1313,30,11222,Henry
34,18067,1684,66,19719,Howard
35,18069,436,5,8050,Huntington
36,18071,1185,17,9251,Jackson
37,18073,665,5,7332,Jasper
38,18075,331,6,3360,Jay
39,18077,352,5,6587,Jefferson
40,18079,379,13,4479,Jennings
41,18081,3239,130,36431,Johnson
42,18083,813,10,6757,Knox
43,18085,1984,27,16871,Kosciusko
44,18087,828,15,4276,Lagrange
45,18089,14222,358,118001,Lake
46,18091,2361,61,27340,La Porte
47,18093,947,37,8567,Lawrence
48,18095,2480,96,25847,Madison
49,18097,25871,792,242555,Marion
50,18099,1451,26,13601,Marshall
51,18101,204,0,1872,Martin
52,18103,661,5,8375,Miami
53,18105,3332,38,51295,Monroe
54,18107,620,22,8157,Montgomery
55,18109,989,40,13115,Morgan
56,18111,236,11,2179,Newton
57,18113,1219,35,10762,Noble
58,18115,133,7,1369,Ohio
59,18117,421,25,3967,Orange
60,18119,211,1,4978,Owen
61,18121,250,4,3156,Parke
62,18123,361,14,4502,Perry
63,18125,343,18,2321,Pike
64,18127,3416,50,36642,Porter
65,18129,766,7,5681,Posey
66,18131,175,3,2530,Pulaski
67,18133,766,16,7835,Putnam
68,18135,381,10,4979,Randolph
69,18137,474,8,6199,Ripley
70,18139,230,4,3499,Rush
71,18141,9532,166,93668,St. Joseph
72,18143,545,13,6043,Scott
73,18145,894,31,8999,Shelby
74,18147,412,6,3656,Spencer
75,18149,437,8,4485,Starke
76,18151,657,8,6074,Steuben
77,18153,455,14,4668,Sullivan
78,18155,97,0,1832,Switzerland
79,18157,3918,15,63846,Tippecanoe
80,18159,282,23,2915,Tipton
81,18161,114,0,1649,Union
82,18163,6090,62,54902,Vanderburgh
83,18165,268,1,3395,Vermillion
84,18167,2724,40,26143,Vigo
85,18169,438,9,6148,Wabash
86,18171,89,1,1108,Warren
87,18173,2015,65,16799,Warrick
88,18175,386,3,4436,Washington
89,18177,1379,31,17508,Wayne
90,18179,449,11,5306,Wells
91,18181,610,16,6292,White
92,18183,479,6,5721,Whitley
