_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,223,3,3931,Adams
2,18003,5703,196,58568,Allen
3,18005,1126,57,15773,Bartholomew
4,18007,87,0,1619,Benton
5,18009,105,2,1800,Blackford
6,18011,936,46,12929,Boone
7,18013,93,3,1825,Brown
8,18015,267,13,3268,Carroll
9,18017,1913,9,9115,Cass
10,18019,2016,55,20809,Clark
11,18021,280,5,4395,Clay
12,18023,589,11,7941,Clinton
13,18025,98,0,1631,Crawford
14,18027,599,27,4887,Daviess
15,18029,608,28,8520,Dearborn
16,18031,446,38,4771,Decatur
17,18033,417,10,5390,De Kalb
18,18035,1753,59,20063,Delaware
19,18037,910,18,7866,Dubois
20,18039,6117,105,47352,Elkhart
21,18041,400,13,4297,Fayette
22,18043,1252,60,13544,Floyd
23,18045,113,2,2549,Fountain
24,18047,289,25,2274,Franklin
25,18049,226,2,3137,Fulton
26,18051,413,4,5046,Gibson
27,18053,833,32,12004,Grant
28,18055,402,35,5432,Greene
29,18057,4546,109,69426,Hamilton
30,18059,881,42,15336,Hancock
31,18061,538,24,6631,Harrison
32,18063,2572,120,27554,Hendricks
33,18065,715,24,8286,Henry
34,18067,1235,63,15236,Howard
35,18069,200,3,5709,Huntington
36,18071,725,9,7095,Jackson
37,18073,372,2,5599,Jasper
38,18075,156,0,2405,Jay
39,18077,232,3,5158,Jefferson
40,18079,305,12,3578,Jennings
41,18081,2218,122,27869,Johnson
42,18083,444,8,4990,Knox
43,18085,1150,17,12479,Kosciusko
44,18087,627,11,3515,Lagrange
45,18089,9939,309,90613,Lake
46,18091,1328,37,20157,La Porte
47,18093,494,28,6619,Lawrence
48,18095,1503,75,18877,Madison
49,18097,20196,756,191485,Marion
50,18099,966,23,10808,Marshall
51,18101,152,0,1517,Martin
52,18103,418,2,6459,Miami
53,18105,2180,36,43092,Monroe
54,18107,493,21,6622,Montgomery
55,18109,667,37,10064,Morgan
56,18111,162,10,1627,Newton
57,18113,858,32,8551,Noble
58,18115,75,7,1101,Ohio
59,18117,276,24,3150,Orange
60,18119,161,1,4005,Owen
61,18121,88,2,2119,Parke
62,18123,200,14,3597,Perry
63,18125,128,1,1686,Pike
64,18127,1947,43,27387,Porter
65,18129,281,0,3902,Posey
66,18131,112,1,1951,Pulaski
67,18133,509,8,6269,Putnam
68,18135,199,7,3688,Randolph
69,18137,269,8,4878,Ripley
70,18139,146,4,2768,Rush
71,18141,5804,96,70802,St. Joseph
72,18143,343,10,4792,Scott
73,18145,649,29,7267,Shelby
74,18147,191,3,2698,Spencer
75,18149,228,7,3266,Starke
76,18151,343,7,4484,Steuben
77,18153,324,12,3606,Sullivan
78,18155,66,0,1456,Switzerland
79,18157,2029,13,47720,Tippecanoe
80,18159,214,22,2258,Tipton
81,18161,75,0,1357,Union
82,18163,3087,24,40422,Vanderburgh
83,18165,119,0,2438,Vermillion
84,18167,1677,20,19383,Vigo
85,18169,251,7,4646,Wabash
86,18171,38,1,860,Warren
87,18173,1006,34,12648,Warrick
88,18175,248,1,3455,Washington
89,18177,717,14,13505,Wayne
90,18179,235,2,3895,Wells
91,18181,467,14,5201,White
92,18183,241,6,3978,Whitley
