_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,43,1,1223
2,ALLEN,2575,104,24436
3,BARTHOLOMEW,576,44,6124
4,BENTON,44,0,538
5,BLACKFORD,35,2,789
6,BOONE,409,41,4620
7,BROWN,37,1,519
8,CARROLL,107,2,1496
9,CASS,1633,9,5091
10,CLARK,613,44,6640
11,CLAY,59,4,1548
12,CLINTON,276,1,3549
13,CRAWFORD,27,0,556
14,DAVIESS,133,16,1683
15,DEARBORN,197,22,2398
16,DECATUR,241,32,1938
17,DEKALB,151,4,1993
18,DELAWARE,419,48,7061
19,DUBOIS,256,6,2674
20,ELKHART,2928,42,20646
21,FAYETTE,94,7,1464
22,FLOYD,357,44,4559
23,FOUNTAIN,26,2,919
24,FRANKLIN,124,8,842
25,FULTON,65,1,1179
26,GIBSON,31,2,1561
27,GRANT,284,26,4353
28,GREENE,183,31,1932
29,HAMILTON,1428,97,24830
30,HANCOCK,404,35,5778
31,HARRISON,203,22,2090
32,HENDRICKS,1356,99,10863
33,HENRY,216,15,3524
34,HOWARD,536,55,5508
35,HUNTINGTON,66,2,2125
36,JACKSON,443,3,3269
37,JASPER,102,2,2349
38,JAY,65,0,970
39,JEFFERSON,62,1,2120
40,JENNINGS,168,9,1462
41,JOHNSON,1220,117,11159
42,KNOX,56,0,1718
43,KOSCIUSKO,449,2,4773
44,LAGRANGE,437,6,1963
45,LAKE,4696,239,37213
46,LAPORTE,512,25,7081
47,LAWRENCE,213,24,2697
48,MADISON,638,63,6967
49,MARION,11182,677,81420
50,MARSHALL,401,3,3957
51,MARTIN,22,0,442
52,MIAMI,178,2,2368
53,MONROE,227,28,6964
54,MONTGOMERY,281,19,2621
55,MORGAN,313,31,4237
56,NEWTON,91,10,660
57,NOBLE,417,28,3822
58,OHIO,14,0,253
59,ORANGE,133,23,1124
60,OWEN,42,1,1350
61,PARKE,22,0,754
62,PERRY,118,6,1286
63,PIKE,6,0,550
64,PORTER,660,36,9105
65,POSEY,28,0,913
66,PULASKI,55,1,873
67,PUTNAM,162,8,2500
68,RANDOLPH,75,4,1526
69,RIPLEY,112,7,1827
70,RUSH,53,3,1096
71,SCOTT,154,6,2378
72,SHELBY,410,25,3740
73,SPENCER,30,1,824
74,ST JOSEPH,1798,62,24597
75,STARKE,65,3,1133
76,STEUBEN,120,2,1626
77,SULLIVAN,45,1,1424
78,SWITZERLAND,23,0,478
79,TIPPECANOE,599,8,11719
80,TIPTON,30,1,792
81,UNION,13,0,417
82,VANDERBURGH,388,6,11080
83,VERMILLION,13,0,710
84,VIGO,219,8,5924
85,WABASH,105,2,1961
86,WARREN,14,1,291
87,WARRICK,185,29,2949
88,WASHINGTON,63,1,1180
89,WAYNE,120,6,4303
90,WELLS,66,1,1468
91,WHITE,253,10,2252
92,WHITLEY,77,4,1333
