_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,63,1,1651,Adams
2,18003,3217,148,32868,Allen
3,18005,648,45,8210,Bartholomew
4,18007,54,0,745,Benton
5,18009,45,2,1051,Blackford
6,18011,554,45,6789,Boone
7,18013,58,1,1006,Brown
8,18015,120,2,1929,Carroll
9,18017,1677,9,5980,Cass
10,18019,821,45,9573,Clark
11,18021,73,5,2024,Clay
12,18023,313,3,4431,Clinton
13,18025,37,0,748,Crawford
14,18027,178,17,2312,Daviess
15,18029,355,25,4691,Dearborn
16,18031,266,32,2580,Decatur
17,18033,180,4,2842,De Kalb
18,18035,518,52,9840,Delaware
19,18037,469,8,4111,Dubois
20,18039,4150,69,30388,Elkhart
21,18041,121,7,2067,Fayette
22,18043,510,44,6852,Floyd
23,18045,47,2,1266,Fountain
24,18047,153,8,1140,Franklin
25,18049,100,1,1670,Fulton
26,18051,170,2,2715,Gibson
27,18053,421,28,6301,Grant
28,18055,210,33,2646,Greene
29,18057,2032,102,35995,Hamilton
30,18059,528,36,8142,Hancock
31,18061,235,22,3015,Harrison
32,18063,1574,104,14491,Hendricks
33,18065,328,18,5009,Henry
34,18067,687,60,7418,Howard
35,18069,112,2,3130,Huntington
36,18071,510,3,4220,Jackson
37,18073,164,2,2990,Jasper
38,18075,73,0,1290,Jay
39,18077,136,2,3011,Jefferson
40,18079,188,12,1835,Jennings
41,18081,1476,118,14840,Johnson
42,18083,93,0,2427,Knox
43,18085,711,8,7452,Kosciusko
44,18087,504,10,2382,Lagrange
45,18089,6379,258,52831,Lake
46,18091,706,28,10483,La Porte
47,18093,283,26,3873,Lawrence
48,18095,720,64,9210,Madison
49,18097,13094,711,106694,Marion
50,18099,682,16,6101,Marshall
51,18101,36,0,639,Martin
52,18103,218,2,3132,Miami
53,18105,496,29,11879,Monroe
54,18107,307,21,3447,Montgomery
55,18109,367,31,5574,Morgan
56,18111,102,10,844,Newton
57,18113,579,28,5265,Noble
58,18115,33,2,707,Ohio
59,18117,150,24,1502,Orange
60,18119,60,1,2009,Owen
61,18121,35,0,1038,Parke
62,18123,161,12,1994,Perry
63,18125,21,0,757,Pike
64,18127,954,38,13140,Porter
65,18129,128,0,1906,Posey
66,18131,69,1,1202,Pulaski
67,18133,197,8,3139,Putnam
68,18135,85,4,2023,Randolph
69,18137,160,7,2621,Ripley
70,18139,73,4,1438,Rush
71,18141,2605,74,35403,St. Joseph
72,18143,202,10,2961,Scott
73,18145,480,25,4486,Shelby
74,18147,95,1,1356,Spencer
75,18149,141,4,1828,Starke
76,18151,165,3,2251,Steuben
77,18153,65,1,1855,Sullivan
78,18155,36,0,659,Switzerland
79,18157,907,11,17006,Tippecanoe
80,18159,52,2,1107,Tipton
81,18161,20,0,637,Union
82,18163,1236,6,21327,Vanderburgh
83,18165,20,0,983,Vermillion
84,18167,317,9,8472,Vigo
85,18169,132,3,2799,Wabash
86,18171,17,1,368,Warren
87,18173,381,29,5982,Warrick
88,18175,77,1,1600,Washington
89,18177,219,7,6653,Wayne
90,18179,103,1,2125,Wells
91,18181,307,10,2986,White
92,18183,122,6,2046,Whitley
