_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,124,2,2288,Adams
2,18003,4161,164,41938,Allen
3,18005,867,47,11459,Bartholomew
4,18007,64,0,1012,Benton
5,18009,66,2,1348,Blackford
6,18011,716,46,9272,Boone
7,18013,76,2,1500,Brown
8,18015,213,5,2450,Carroll
9,18017,1813,9,7195,Cass
10,18019,1352,50,14655,Clark
11,18021,150,5,2806,Clay
12,18023,462,4,5905,Clinton
13,18025,50,0,1017,Crawford
14,18027,296,20,3244,Daviess
15,18029,528,28,6589,Dearborn
16,18031,353,32,3539,Decatur
17,18033,244,4,3668,De Kalb
18,18035,777,52,13300,Delaware
19,18037,729,12,5669,Dubois
20,18039,5051,91,37867,Elkhart
21,18041,209,7,3036,Fayette
22,18043,861,50,9726,Floyd
23,18045,76,2,1738,Fountain
24,18047,251,16,1640,Franklin
25,18049,175,2,2306,Fulton
26,18051,246,4,3617,Gibson
27,18053,533,30,7837,Grant
28,18055,259,34,3744,Greene
29,18057,3033,104,49527,Hamilton
30,18059,702,39,11269,Hancock
31,18061,365,24,4405,Harrison
32,18063,1978,109,19609,Hendricks
33,18065,467,20,6360,Henry
34,18067,948,65,11060,Howard
35,18069,130,3,3865,Huntington
36,18071,607,5,5450,Jackson
37,18073,266,2,4013,Jasper
38,18075,97,0,1649,Jay
39,18077,175,2,3780,Jefferson
40,18079,233,12,2513,Jennings
41,18081,1819,119,19958,Johnson
42,18083,171,1,3216,Knox
43,18085,878,12,9781,Kosciusko
44,18087,571,10,2719,Lagrange
45,18089,7952,283,68804,Lake
46,18091,967,30,14880,La Porte
47,18093,359,27,4948,Lawrence
48,18095,1062,66,12916,Madison
49,18097,16437,734,141766,Marion
50,18099,805,23,7792,Marshall
51,18101,53,0,852,Martin
52,18103,279,2,4246,Miami
53,18105,784,32,18211,Monroe
54,18107,367,21,4527,Montgomery
55,18109,501,35,7443,Morgan
56,18111,121,10,1075,Newton
57,18113,717,29,6527,Noble
58,18115,63,6,913,Ohio
59,18117,188,24,2074,Orange
60,18119,113,1,2791,Owen
61,18121,58,1,1412,Parke
62,18123,189,13,2950,Perry
63,18125,67,0,1110,Pike
64,18127,1415,39,19235,Porter
65,18129,184,0,2722,Posey
66,18131,84,1,1403,Pulaski
67,18133,331,8,4342,Putnam
68,18135,134,5,2650,Randolph
69,18137,221,8,3736,Ripley
70,18139,100,4,1964,Rush
71,18141,3766,83,49351,St. Joseph
72,18143,281,10,3759,Scott
73,18145,573,28,5527,Shelby
74,18147,140,3,2049,Spencer
75,18149,181,7,2487,Starke
76,18151,217,3,3008,Steuben
77,18153,163,1,2506,Sullivan
78,18155,59,0,1101,Switzerland
79,18157,1293,12,24514,Tippecanoe
80,18159,155,16,1604,Tipton
81,18161,42,0,890,Union
82,18163,2122,15,30206,Vanderburgh
83,18165,62,0,1515,Vermillion
84,18167,779,13,12578,Vigo
85,18169,180,5,3435,Wabash
86,18171,25,1,534,Warren
87,18173,612,30,8797,Warrick
88,18175,153,1,2411,Washington
89,18177,410,10,9956,Wayne
90,18179,180,2,2896,Wells
91,18181,384,11,3878,White
92,18183,162,6,2659,Whitley
