_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,109,2,2104,Adams
2,18003,4002,163,41026,Allen
3,18005,817,47,10998,Bartholomew
4,18007,64,0,997,Benton
5,18009,65,2,1310,Blackford
6,18011,687,46,9015,Boone
7,18013,74,1,1441,Brown
8,18015,196,2,2390,Carroll
9,18017,1802,9,7170,Cass
10,18019,1287,49,14332,Clark
11,18021,124,5,2671,Clay
12,18023,444,4,5731,Clinton
13,18025,45,0,979,Crawford
14,18027,277,20,3122,Daviess
15,18029,512,28,6370,Dearborn
16,18031,341,32,3411,Decatur
17,18033,238,4,3555,De Kalb
18,18035,745,52,12885,Delaware
19,18037,708,12,5541,Dubois
20,18039,4926,85,37433,Elkhart
21,18041,194,7,2920,Fayette
22,18043,809,48,9560,Floyd
23,18045,74,2,1693,Fountain
24,18047,246,15,1616,Franklin
25,18049,172,2,2244,Fulton
26,18051,231,4,3560,Gibson
27,18053,529,30,7665,Grant
28,18055,254,34,3642,Greene
29,18057,2829,104,46951,Hamilton
30,18059,683,39,10799,Hancock
31,18061,348,23,4309,Harrison
32,18063,1927,108,18892,Hendricks
33,18065,406,20,6109,Henry
34,18067,913,65,10681,Howard
35,18069,124,3,3761,Huntington
36,18071,596,5,5266,Jackson
37,18073,255,2,3922,Jasper
38,18075,92,0,1602,Jay
39,18077,167,2,3731,Jefferson
40,18079,227,12,2459,Jennings
41,18081,1789,119,19406,Johnson
42,18083,161,0,3174,Knox
43,18085,868,12,9710,Kosciusko
44,18087,563,10,2681,Lagrange
45,18089,7688,278,67194,Lake
46,18091,931,30,14456,La Porte
47,18093,352,27,4839,Lawrence
48,18095,1006,65,12365,Madison
49,18097,16088,730,138311,Marion
50,18099,793,23,7612,Marshall
51,18101,48,0,822,Martin
52,18103,277,2,4167,Miami
53,18105,766,31,17682,Monroe
54,18107,359,21,4473,Montgomery
55,18109,493,34,7221,Morgan
56,18111,120,10,1067,Newton
57,18113,688,29,6438,Noble
58,18115,65,6,892,Ohio
59,18117,174,24,2014,Orange
60,18119,99,1,2716,Owen
61,18121,51,1,1349,Parke
62,18123,187,13,2902,Perry
63,18125,59,0,1077,Pike
64,18127,1355,39,18617,Porter
65,18129,179,0,2633,Posey
66,18131,81,1,1396,Pulaski
67,18133,312,8,4212,Putnam
68,18135,124,4,2571,Randolph
69,18137,213,8,3644,Ripley
70,18139,85,4,1832,Rush
71,18141,3578,83,48150,St. Joseph
72,18143,272,10,3708,Scott
73,18145,565,27,5420,Shelby
74,18147,137,3,2010,Spencer
75,18149,178,7,2439,Starke
76,18151,213,3,2903,Steuben
77,18153,138,1,2390,Sullivan
78,18155,53,0,1090,Switzerland
79,18157,1238,11,23503,Tippecanoe
80,18159,143,12,1549,Tipton
81,18161,41,0,859,Union
82,18163,2022,13,29338,Vanderburgh
83,18165,58,0,1449,Vermillion
84,18167,699,11,11994,Vigo
85,18169,170,3,3362,Wabash
86,18171,24,1,518,Warren
87,18173,588,30,8527,Warrick
88,18175,142,1,2316,Washington
89,18177,385,10,9593,Wayne
90,18179,174,2,2845,Wells
91,18181,376,11,3780,White
92,18183,155,6,2576,Whitley
