_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,49,1,1364
2,ALLEN,2835,133,28118
3,BARTHOLOMEW,591,45,6882
4,BENTON,48,0,611
5,BLACKFORD,39,2,903
6,BOONE,454,43,5422
7,BROWN,42,1,583
8,CARROLL,110,2,1700
9,CASS,1642,9,5575
10,CLARK,668,44,7640
11,CLAY,60,4,1727
12,CLINTON,290,2,3885
13,CRAWFORD,32,0,641
14,DAVIESS,148,17,1939
15,DEARBORN,238,23,3251
16,DECATUR,254,32,2226
17,DEKALB,163,4,2320
18,DELAWARE,452,52,8098
19,DUBOIS,288,6,3207
20,ELKHART,3402,55,24697
21,FAYETTE,103,7,1719
22,FLOYD,384,44,5450
23,FOUNTAIN,32,2,1032
24,FRANKLIN,126,8,941
25,FULTON,72,1,1339
26,GIBSON,98,2,2115
27,GRANT,296,26,4945
28,GREENE,190,32,2188
29,HAMILTON,1608,101,28970
30,HANCOCK,452,36,6777
31,HARRISON,216,22,2447
32,HENDRICKS,1425,100,12324
33,HENRY,282,16,4190
34,HOWARD,580,58,6111
35,HUNTINGTON,78,2,2479
36,JACKSON,473,3,3806
37,JASPER,123,2,2600
38,JAY,68,0,1105
39,JEFFERSON,76,2,2391
40,JENNINGS,177,12,1644
41,JOHNSON,1296,118,12643
42,KNOX,64,0,2057
43,KOSCIUSKO,562,4,5777
44,LAGRANGE,477,9,2152
45,LAKE,5276,246,42831
46,LAPORTE,583,26,8197
47,LAWRENCE,248,25,3298
48,MADISON,667,64,7803
49,MARION,11760,689,91715
50,MARSHALL,501,6,4656
51,MARTIN,22,0,513
52,MIAMI,186,2,2640
53,MONROE,309,28,8844
54,MONTGOMERY,297,20,3008
55,MORGAN,327,31,4789
56,NEWTON,99,10,733
57,NOBLE,485,28,4491
58,OHIO,18,0,310
59,ORANGE,136,23,1263
60,OWEN,50,1,1666
61,PARKE,24,0,856
62,PERRY,135,9,1496
63,PIKE,11,0,630
64,PORTER,767,38,10597
65,POSEY,45,0,1209
66,PULASKI,66,1,1020
67,PUTNAM,170,8,2777
68,RANDOLPH,80,4,1734
69,RIPLEY,124,7,2096
70,RUSH,58,3,1219
71,SCOTT,162,8,2621
72,SHELBY,431,25,4052
73,SPENCER,44,1,971
74,ST JOSEPH,2001,69,28140
75,STARKE,94,3,1363
76,STEUBEN,130,2,1833
77,SULLIVAN,45,1,1549
78,SWITZERLAND,28,0,515
79,TIPPECANOE,735,9,13681
80,TIPTON,31,1,920
81,UNION,13,0,503
82,VANDERBURGH,587,6,14403
83,VERMILLION,14,0,816
84,VIGO,238,8,6914
85,WABASH,114,2,2447
86,WARREN,14,1,325
87,WARRICK,227,29,3932
88,WASHINGTON,67,1,1375
89,WAYNE,143,6,5214
90,WELLS,75,1,1701
91,WHITE,266,10,2594
92,WHITLEY,97,5,1606
