_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,36,1,1034
2,ALLEN,2436,97,22799
3,BARTHOLOMEW,568,43,3391
4,BENTON,44,0,510
5,BLACKFORD,33,2,712
6,BOONE,396,41,4390
7,BROWN,37,1,397
8,CARROLL,103,2,1427
9,CASS,1625,9,4726
10,CLARK,597,43,6166
11,CLAY,56,4,1467
12,CLINTON,273,1,3436
13,CRAWFORD,27,0,477
14,DAVIESS,132,16,1547
15,DEARBORN,190,22,2185
16,DECATUR,239,32,1717
17,DEKALB,139,4,1816
18,DELAWARE,410,47,6656
19,DUBOIS,251,6,2509
20,ELKHART,2665,39,18825
21,FAYETTE,86,7,1306
22,FLOYD,347,43,4303
23,FOUNTAIN,24,2,871
24,FRANKLIN,121,8,788
25,FULTON,63,1,1062
26,GIBSON,27,2,1460
27,GRANT,277,26,3846
28,GREENE,184,29,1743
29,HAMILTON,1393,97,23214
30,HANCOCK,392,34,5338
31,HARRISON,200,22,1934
32,HENDRICKS,1327,94,10165
33,HENRY,211,15,3318
34,HOWARD,501,50,4978
35,HUNTINGTON,62,2,1891
36,JACKSON,432,3,2811
37,JASPER,93,2,2223
38,JAY,65,0,913
39,JEFFERSON,58,1,1958
40,JENNINGS,164,9,1023
41,JOHNSON,1205,117,10483
42,KNOX,47,0,1609
43,KOSCIUSKO,397,2,4293
44,LAGRANGE,408,6,1830
45,LAKE,4489,238,34580
46,LAPORTE,492,25,6551
47,LAWRENCE,197,24,2484
48,MADISON,621,63,6476
49,MARION,10977,669,76834
50,MARSHALL,369,3,3636
51,MARTIN,22,0,402
52,MIAMI,177,2,2146
53,MONROE,213,26,6380
54,MONTGOMERY,274,19,2473
55,MORGAN,305,30,3960
56,NEWTON,89,10,626
57,NOBLE,376,27,3412
58,OHIO,13,0,243
59,ORANGE,132,23,1016
60,OWEN,40,1,1278
61,PARKE,20,0,693
62,PERRY,109,4,1172
63,PIKE,6,0,459
64,PORTER,626,36,8442
65,POSEY,26,0,749
66,PULASKI,54,1,765
67,PUTNAM,159,8,2181
68,RANDOLPH,74,4,1344
69,RIPLEY,112,7,1676
70,RUSH,52,3,1018
71,SCOTT,151,6,2239
72,SHELBY,407,24,3552
73,SPENCER,25,1,689
74,ST JOSEPH,1687,58,22583
75,STARKE,61,3,977
76,STEUBEN,111,2,1486
77,SULLIVAN,41,1,1370
78,SWITZERLAND,22,0,432
79,TIPPECANOE,541,8,11003
80,TIPTON,28,1,741
81,UNION,12,0,380
82,VANDERBURGH,347,6,10075
83,VERMILLION,13,0,657
84,VIGO,212,8,5453
85,WABASH,95,2,1840
86,WARREN,14,1,280
87,WARRICK,182,29,2649
88,WASHINGTON,62,1,933
89,WAYNE,110,6,3740
90,WELLS,65,1,1395
91,WHITE,249,10,2141
92,WHITLEY,71,4,1218
