_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,24,1,541
2,ALLEN,2014,77,15011
3,BARTHOLOMEW,540,40,2732
4,BENTON,33,0,364
5,BLACKFORD,29,2,484
6,BOONE,339,36,3237
7,BROWN,35,1,270
8,CARROLL,96,2,1144
9,CASS,1592,9,4204
10,CLARK,549,42,4705
11,CLAY,56,3,1142
12,CLINTON,249,1,2724
13,CRAWFORD,27,0,377
14,DAVIESS,113,16,1018
15,DEARBORN,175,22,1558
16,DECATUR,235,32,1282
17,DEKALB,84,1,979
18,DELAWARE,399,43,5056
19,DUBOIS,231,4,1818
20,ELKHART,1832,29,13274
21,FAYETTE,80,7,964
22,FLOYD,329,42,3113
23,FOUNTAIN,24,2,598
24,FRANKLIN,119,8,617
25,FULTON,51,1,723
26,GIBSON,21,2,885
27,GRANT,245,23,2736
28,GREENE,177,28,1274
29,HAMILTON,1242,95,18206
30,HANCOCK,367,28,4297
31,HARRISON,198,22,1535
32,HENDRICKS,1234,83,7713
33,HENRY,192,13,2408
34,HOWARD,451,42,3888
35,HUNTINGTON,49,2,1157
36,JACKSON,407,2,2133
37,JASPER,82,1,1621
38,JAY,59,0,623
39,JEFFERSON,51,1,1523
40,JENNINGS,135,4,756
41,JOHNSON,1155,114,8226
42,KNOX,33,0,993
43,KOSCIUSKO,252,2,2616
44,LAGRANGE,188,2,814
45,LAKE,4033,219,27951
46,LAPORTE,463,24,5009
47,LAWRENCE,172,24,1733
48,MADISON,606,61,5029
49,MARION,10464,634,62803
50,MARSHALL,247,2,2431
51,MARTIN,15,0,247
52,MIAMI,152,1,1612
53,MONROE,181,17,4325
54,MONTGOMERY,259,19,1807
55,MORGAN,294,28,3157
56,NEWTON,82,10,452
57,NOBLE,310,25,2185
58,OHIO,13,0,175
59,ORANGE,132,23,833
60,OWEN,37,1,952
61,PARKE,19,0,494
62,PERRY,48,1,711
63,PIKE,6,0,244
64,PORTER,576,33,5904
65,POSEY,17,0,524
66,PULASKI,52,1,586
67,PUTNAM,148,8,1716
68,RANDOLPH,57,3,944
69,RIPLEY,109,6,1169
70,RUSH,50,3,730
71,SCOTT,132,3,1851
72,SHELBY,403,22,2993
73,SPENCER,22,1,473
74,ST JOSEPH,1453,44,16560
75,STARKE,47,3,685
76,STEUBEN,98,2,1133
77,SULLIVAN,39,1,1000
78,SWITZERLAND,21,0,307
79,TIPPECANOE,466,5,7972
80,TIPTON,27,1,527
81,UNION,12,0,266
82,VANDERBURGH,313,4,7737
83,VERMILLION,10,0,434
84,VIGO,197,8,3511
85,WABASH,87,2,1152
86,WARREN,13,1,201
87,WARRICK,170,29,1779
88,WASHINGTON,56,1,696
89,WAYNE,91,6,2433
90,WELLS,45,0,943
91,WHITE,242,9,1653
92,WHITLEY,58,3,726
