_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,38,1,1117
2,ALLEN,2466,97,23023
3,BARTHOLOMEW,568,43,3422
4,BENTON,44,0,513
5,BLACKFORD,33,2,732
6,BOONE,400,41,4447
7,BROWN,37,1,395
8,CARROLL,103,2,1433
9,CASS,1625,9,4750
10,CLARK,600,43,6240
11,CLAY,56,4,1476
12,CLINTON,274,1,3458
13,CRAWFORD,27,0,505
14,DAVIESS,132,16,1561
15,DEARBORN,190,23,2227
16,DECATUR,241,32,1732
17,DEKALB,140,4,1832
18,DELAWARE,412,47,6743
19,DUBOIS,255,6,2570
20,ELKHART,2705,40,19278
21,FAYETTE,86,7,1326
22,FLOYD,351,43,4361
23,FOUNTAIN,24,2,874
24,FRANKLIN,121,8,796
25,FULTON,64,1,1093
26,GIBSON,29,2,1496
27,GRANT,280,26,3870
28,GREENE,184,29,1759
29,HAMILTON,1398,97,23347
30,HANCOCK,394,34,5368
31,HARRISON,201,22,1953
32,HENDRICKS,1337,95,10220
33,HENRY,211,15,3369
34,HOWARD,509,50,5013
35,HUNTINGTON,63,2,1910
36,JACKSON,433,3,2842
37,JASPER,96,2,2244
38,JAY,65,0,934
39,JEFFERSON,58,1,1966
40,JENNINGS,164,9,1038
41,JOHNSON,1205,117,10554
42,KNOX,47,0,1620
43,KOSCIUSKO,406,2,4364
44,LAGRANGE,412,6,1861
45,LAKE,4525,238,35030
46,LAPORTE,494,25,6666
47,LAWRENCE,197,24,2527
48,MADISON,624,63,6623
49,MARION,10996,673,77379
50,MARSHALL,374,3,3689
51,MARTIN,22,0,415
52,MIAMI,176,2,2222
53,MONROE,214,26,6408
54,MONTGOMERY,275,19,2495
55,MORGAN,307,30,4004
56,NEWTON,90,10,633
57,NOBLE,383,28,3455
58,OHIO,13,0,246
59,ORANGE,132,23,1072
60,OWEN,40,1,1283
61,PARKE,20,0,700
62,PERRY,108,4,1186
63,PIKE,6,0,472
64,PORTER,630,36,8500
65,POSEY,26,0,775
66,PULASKI,54,1,823
67,PUTNAM,159,8,2226
68,RANDOLPH,74,4,1434
69,RIPLEY,113,7,1707
70,RUSH,52,3,1028
71,SCOTT,152,6,2282
72,SHELBY,408,24,3582
73,SPENCER,27,1,750
74,ST JOSEPH,1705,59,22997
75,STARKE,62,3,1060
76,STEUBEN,112,2,1491
77,SULLIVAN,41,1,1375
78,SWITZERLAND,22,0,435
79,TIPPECANOE,544,8,11079
80,TIPTON,28,1,744
81,UNION,12,0,381
82,VANDERBURGH,359,6,10372
83,VERMILLION,13,0,665
84,VIGO,214,8,5485
85,WABASH,96,2,1860
86,WARREN,14,1,281
87,WARRICK,182,29,2724
88,WASHINGTON,62,1,1010
89,WAYNE,112,6,3893
90,WELLS,66,1,1403
91,WHITE,249,10,2156
92,WHITLEY,72,4,1228
