_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,577,7,5800,Adams
2,18003,8741,232,81012,Allen
3,18005,1490,58,20039,Bartholomew
4,18007,111,0,2102,Benton
5,18009,242,5,2667,Blackford
6,18011,1310,50,16319,Boone
7,18013,150,3,2294,Brown
8,18015,347,13,4008,Carroll
9,18017,2301,25,11146,Cass
10,18019,3085,65,28275,Clark
11,18021,469,7,5458,Clay
12,18023,935,16,9992,Clinton
13,18025,165,1,2183,Crawford
14,18027,932,36,6259,Daviess
15,18029,1038,28,10772,Dearborn
16,18031,533,39,5751,Decatur
17,18033,781,11,7516,De Kalb
18,18035,3144,75,26948,Delaware
19,18037,1479,26,9843,Dubois
20,18039,9402,142,60863,Elkhart
21,18041,790,21,5791,Fayette
22,18043,1884,68,18394,Floyd
23,18045,339,3,3602,Fountain
24,18047,383,25,2980,Franklin
25,18049,395,6,4285,Fulton
26,18051,956,12,6789,Gibson
27,18053,1354,40,15145,Grant
28,18055,581,38,6815,Greene
29,18057,6462,117,88604,Hamilton
30,18059,1250,44,19361,Hancock
31,18061,807,24,8764,Harrison
32,18063,3442,137,35640,Hendricks
33,18065,1343,30,11349,Henry
34,18067,1701,66,19894,Howard
35,18069,454,5,8138,Huntington
36,18071,1225,19,9425,Jackson
37,18073,707,5,7445,Jasper
38,18075,348,6,3413,Jay
39,18077,365,5,6654,Jefferson
40,18079,388,13,4536,Jennings
41,18081,3307,131,36875,Johnson
42,18083,839,10,6837,Knox
43,18085,2103,29,17180,Kosciusko
44,18087,828,15,4311,Lagrange
45,18089,14627,362,120092,Lake
46,18091,2414,64,27627,La Porte
47,18093,992,38,8731,Lawrence
48,18095,2547,96,26128,Madison
49,18097,26255,795,244568,Marion
50,18099,1490,28,13698,Marshall
51,18101,204,0,1881,Martin
52,18103,690,5,8519,Miami
53,18105,3375,38,51685,Monroe
54,18107,644,22,8241,Montgomery
55,18109,1004,40,13261,Morgan
56,18111,240,11,2208,Newton
57,18113,1245,35,10844,Noble
58,18115,136,7,1379,Ohio
59,18117,425,25,3991,Orange
60,18119,217,1,5039,Owen
61,18121,260,4,3214,Parke
62,18123,377,14,4552,Perry
63,18125,363,18,2367,Pike
64,18127,3554,50,37150,Porter
65,18129,778,7,5714,Posey
66,18131,179,4,2568,Pulaski
67,18133,783,17,7914,Putnam
68,18135,421,10,5102,Randolph
69,18137,488,8,6261,Ripley
70,18139,254,4,3564,Rush
71,18141,9725,171,94386,St. Joseph
72,18143,559,16,6091,Scott
73,18145,918,35,9133,Shelby
74,18147,423,6,3712,Spencer
75,18149,460,8,4537,Starke
76,18151,674,8,6148,Steuben
77,18153,467,14,4717,Sullivan
78,18155,99,0,1845,Switzerland
79,18157,4024,16,64304,Tippecanoe
80,18159,285,23,2949,Tipton
81,18161,118,0,1669,Union
82,18163,6224,64,55297,Vanderburgh
83,18165,276,1,3438,Vermillion
84,18167,2806,41,26537,Vigo
85,18169,459,9,6235,Wabash
86,18171,92,1,1130,Warren
87,18173,2068,65,16935,Warrick
88,18175,392,3,4468,Washington
89,18177,1455,33,17749,Wayne
90,18179,473,11,5357,Wells
91,18181,630,16,6349,White
92,18183,492,6,5784,Whitley
