_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,69,1,1691,Adams
2,18003,3307,151,34122,Allen
3,18005,672,45,8681,Bartholomew
4,18007,56,0,780,Benton
5,18009,48,2,1100,Blackford
6,18011,571,45,7218,Boone
7,18013,62,1,1147,Brown
8,18015,121,2,2003,Carroll
9,18017,1710,9,6191,Cass
10,18019,897,45,10232,Clark
11,18021,82,5,2147,Clay
12,18023,321,3,4639,Clinton
13,18025,38,0,779,Crawford
14,18027,201,18,2487,Daviess
15,18029,391,27,5046,Dearborn
16,18031,274,32,2742,Decatur
17,18033,196,4,2983,De Kalb
18,18035,548,52,10308,Delaware
19,18037,531,10,4488,Dubois
20,18039,4308,70,31846,Elkhart
21,18041,133,7,2272,Fayette
22,18043,570,44,7294,Floyd
23,18045,53,2,1336,Fountain
24,18047,170,8,1240,Franklin
25,18049,108,1,1817,Fulton
26,18051,178,2,2846,Gibson
27,18053,454,29,6772,Grant
28,18055,221,34,2940,Greene
29,18057,2182,103,37882,Hamilton
30,18059,568,37,8669,Hancock
31,18061,244,22,3193,Harrison
32,18063,1630,105,15254,Hendricks
33,18065,339,18,5214,Henry
34,18067,732,61,8010,Howard
35,18069,114,2,3270,Huntington
36,18071,521,4,4418,Jackson
37,18073,180,2,3102,Jasper
38,18075,75,0,1338,Jay
39,18077,142,2,3191,Jefferson
40,18079,192,12,1928,Jennings
41,18081,1529,118,15651,Johnson
42,18083,101,0,2532,Knox
43,18085,754,9,7883,Kosciusko
44,18087,522,10,2440,Lagrange
45,18089,6590,265,54830,Lake
46,18091,745,29,11387,La Porte
47,18093,293,27,4051,Lawrence
48,18095,753,64,9598,Madison
49,18097,13549,712,111779,Marion
50,18099,700,19,6409,Marshall
51,18101,39,0,668,Martin
52,18103,232,2,3361,Miami
53,18105,575,29,13185,Monroe
54,18107,315,21,3603,Montgomery
55,18109,385,31,5839,Morgan
56,18111,104,10,864,Newton
57,18113,594,28,5497,Noble
58,18115,36,2,746,Ohio
59,18117,157,24,1599,Orange
60,18119,70,1,2145,Owen
61,18121,38,0,1091,Parke
62,18123,163,12,2122,Perry
63,18125,23,0,822,Pike
64,18127,1012,38,13878,Porter
65,18129,133,0,2044,Posey
66,18131,69,1,1269,Pulaski
67,18133,205,8,3284,Putnam
68,18135,91,4,2097,Randolph
69,18137,176,7,2979,Ripley
70,18139,75,4,1516,Rush
71,18141,2743,75,37244,St. Joseph
72,18143,218,10,3167,Scott
73,18145,489,25,4620,Shelby
74,18147,101,1,1426,Spencer
75,18149,147,4,1927,Starke
76,18151,182,3,2405,Steuben
77,18153,66,1,1938,Sullivan
78,18155,37,0,723,Switzerland
79,18157,960,11,18128,Tippecanoe
80,18159,67,2,1188,Tipton
81,18161,22,0,664,Union
82,18163,1394,7,22982,Vanderburgh
83,18165,22,0,1043,Vermillion
84,18167,359,9,9016,Vigo
85,18169,140,3,2914,Wabash
86,18171,19,1,392,Warren
87,18173,417,29,6458,Warrick
88,18175,84,1,1713,Washington
89,18177,253,7,7080,Wayne
90,18179,110,1,2203,Wells
91,18181,320,10,3119,White
92,18183,133,6,2139,Whitley
