_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,24,1,583
2,ALLEN,2127,79,16907
3,BARTHOLOMEW,547,41,2838
4,BENTON,37,0,376
5,BLACKFORD,29,2,501
6,BOONE,357,36,3415
7,BROWN,36,1,285
8,CARROLL,98,2,1184
9,CASS,1596,9,4257
10,CLARK,559,42,4865
11,CLAY,56,3,1193
12,CLINTON,253,1,2799
13,CRAWFORD,27,0,384
14,DAVIESS,117,16,1056
15,DEARBORN,179,22,1637
16,DECATUR,235,32,1329
17,DEKALB,95,2,1119
18,DELAWARE,399,43,5172
19,DUBOIS,236,4,1930
20,ELKHART,1929,32,14056
21,FAYETTE,81,7,1022
22,FLOYD,333,42,3283
23,FOUNTAIN,23,2,626
24,FRANKLIN,119,8,642
25,FULTON,53,1,772
26,GIBSON,22,2,947
27,GRANT,253,24,2906
28,GREENE,177,28,1311
29,HAMILTON,1250,96,18717
30,HANCOCK,371,28,4456
31,HARRISON,198,22,1595
32,HENDRICKS,1261,90,8043
33,HENRY,201,14,2585
34,HOWARD,458,44,4020
35,HUNTINGTON,49,2,1279
36,JACKSON,414,2,2250
37,JASPER,81,1,1701
38,JAY,60,0,639
39,JEFFERSON,52,1,1539
40,JENNINGS,139,4,790
41,JOHNSON,1160,114,8609
42,KNOX,34,0,1025
43,KOSCIUSKO,277,2,2792
44,LAGRANGE,235,2,926
45,LAKE,4081,224,28802
46,LAPORTE,465,24,5296
47,LAWRENCE,176,24,1853
48,MADISON,612,61,5189
49,MARION,10577,643,65267
50,MARSHALL,276,3,2627
51,MARTIN,15,0,257
52,MIAMI,161,1,1685
53,MONROE,185,18,4557
54,MONTGOMERY,262,19,1895
55,MORGAN,296,28,3252
56,NEWTON,87,10,477
57,NOBLE,318,25,2382
58,OHIO,13,0,182
59,ORANGE,132,23,862
60,OWEN,37,1,991
61,PARKE,20,0,522
62,PERRY,68,1,763
63,PIKE,6,0,258
64,PORTER,585,33,6283
65,POSEY,18,0,552
66,PULASKI,52,1,614
67,PUTNAM,152,8,1778
68,RANDOLPH,64,3,993
69,RIPLEY,109,6,1207
70,RUSH,49,3,780
71,SCOTT,142,3,1890
72,SHELBY,405,22,3045
73,SPENCER,22,1,506
74,ST JOSEPH,1496,50,17305
75,STARKE,48,3,736
76,STEUBEN,102,2,1212
77,SULLIVAN,41,1,1048
78,SWITZERLAND,22,0,318
79,TIPPECANOE,472,5,8276
80,TIPTON,27,1,558
81,UNION,12,0,287
82,VANDERBURGH,321,4,7918
83,VERMILLION,11,0,449
84,VIGO,198,8,3844
85,WABASH,88,2,1236
86,WARREN,14,1,206
87,WARRICK,171,29,1829
88,WASHINGTON,56,1,720
89,WAYNE,96,6,2584
90,WELLS,49,0,1000
91,WHITE,240,9,1701
92,WHITLEY,60,3,827
