_id,COUNTY_NAME,DATE,COVID_COUNT,COVID_DEATHS,COVID_TEST
103,ALLEN,2020-03-05T00:00:00,0,0,0
104,ALLEN,2020-03-06T00:00:00,0,0,1
105,ALLEN,2020-03-07T00:00:00,0,0,0
106,ALLEN,2020-03-08T00:00:00,0,0,1
107,ALLEN,2020-03-09T00:00:00,0,0,2
108,ALLEN,2020-03-10T00:00:00,0,0,10
109,ALLEN,2020-03-11T00:00:00,0,0,1
110,ALLEN,2020-03-12T00:00:00,0,0,9
111,ALLEN,2020-03-13T00:00:00,0,0,12
112,ALLEN,2020-03-14T00:00:00,0,0,6
113,ALLEN,2020-03-15T00:00:00,0,0,3
114,ALLEN,2020-03-16T00:00:00,0,0,4
115,ALLEN,2020-03-17T00:00:00,0,0,22
116,ALLEN,2020-03-18T00:00:00,0,0,35
117,ALLEN,2020-03-19T00:00:00,1,0,19
118,ALLEN,2020-03-20T00:00:00,3,0,29
119,ALLEN,2020-03-21T00:00:00,0,0,26
120,ALLEN,2020-03-22T00:00:00,2,1,17
121,ALLEN,2020-03-23T00:00:00,1,0,61
122,ALLEN,2020-03-24T00:00:00,0,0,51
123,ALLEN,2020-03-25T00:00:00,1,0,48
124,ALLEN,2020-03-26T00:00:00,13,0,48
125,ALLEN,2020-03-27T00:00:00,2,0,49
126,ALLEN,2020-03-28T00:00:00,3,0,35
127,ALLEN,2020-03-29T00:00:00,2,0,25
128,ALLEN,2020-03-30T00:00:00,2,1,48
129,ALLEN,2020-03-31T00:00:00,8,0,52
130,ALLEN,2020-04-01T00:00:00,8,0,80
131,ALLEN,2020-04-02T00:00:00,11,0,104
132,ALLEN,2020-04-03T00:00:00,2,1,62
133,ALLEN,2020-04-04T00:00:00,4,0,44
134,ALLEN,2020-04-05T00:00:00,12,3,46
135,ALLEN,2020-04-06T00:00:00,10,0,70
136,ALLEN,2020-04-07T00:00:00,8,1,67
137,ALLEN,2020-04-08T00:00:00,11,2,99
138,ALLEN,2020-04-09T00:00:00,14,0,67
139,ALLEN,2020-04-10T00:00:00,17,3,56
140,ALLEN,2020-04-11T00:00:00,12,0,33
141,ALLEN,2020-04-12T00:00:00,8,1,25
142,ALLEN,2020-04-13T00:00:00,12,4,310
143,ALLEN,2020-04-14T00:00:00,12,1,162
144,ALLEN,2020-04-15T00:00:00,45,1,200
145,ALLEN,2020-04-16T00:00:00,45,1,198
146,ALLEN,2020-04-17T00:00:00,22,3,221
147,ALLEN,2020-04-18T00:00:00,8,1,44
148,ALLEN,2020-04-19T00:00:00,25,2,42
149,ALLEN,2020-04-20T00:00:00,11,3,257
150,ALLEN,2020-04-21T00:00:00,5,5,187
151,ALLEN,2020-04-22T00:00:00,43,4,264
152,ALLEN,2020-04-23T00:00:00,12,1,151
153,ALLEN,2020-04-24T00:00:00,27,2,267
154,ALLEN,2020-04-25T00:00:00,11,3,97
155,ALLEN,2020-04-26T00:00:00,47,1,130
156,ALLEN,2020-04-27T00:00:00,15,4,152
157,ALLEN,2020-04-28T00:00:00,26,3,176
158,ALLEN,2020-04-29T00:00:00,32,1,169
159,ALLEN,2020-04-30T00:00:00,27,1,161
160,ALLEN,2020-05-01T00:00:00,15,1,253
161,ALLEN,2020-05-02T00:00:00,18,0,191
162,ALLEN,2020-05-03T00:00:00,45,1,60
163,ALLEN,2020-05-04T00:00:00,31,1,136
164,ALLEN,2020-05-05T00:00:00,23,1,130
165,ALLEN,2020-05-06T00:00:00,26,0,183
166,ALLEN,2020-05-07T00:00:00,32,1,302
167,ALLEN,2020-05-08T00:00:00,19,0,328
168,ALLEN,2020-05-09T00:00:00,15,1,95
169,ALLEN,2020-05-10T00:00:00,16,0,46
170,ALLEN,2020-05-11T00:00:00,30,0,181
171,ALLEN,2020-05-12T00:00:00,11,2,153
172,ALLEN,2020-05-13T00:00:00,23,0,310
173,ALLEN,2020-05-14T00:00:00,55,0,661
174,ALLEN,2020-05-15T00:00:00,36,1,629
175,ALLEN,2020-05-16T00:00:00,14,0,90
176,ALLEN,2020-05-17T00:00:00,36,2,85
177,ALLEN,2020-05-18T00:00:00,16,0,311
178,ALLEN,2020-05-19T00:00:00,44,0,237
179,ALLEN,2020-05-20T00:00:00,33,0,246
180,ALLEN,2020-05-21T00:00:00,53,0,518
181,ALLEN,2020-05-22T00:00:00,21,0,435
182,ALLEN,2020-05-23T00:00:00,28,1,126
183,ALLEN,2020-05-24T00:00:00,41,1,99
184,ALLEN,2020-05-25T00:00:00,33,0,61
185,ALLEN,2020-05-26T00:00:00,37,0,419
186,ALLEN,2020-05-27T00:00:00,58,0,380
187,ALLEN,2020-05-28T00:00:00,31,2,490
188,ALLEN,2020-05-29T00:00:00,110,1,514
189,ALLEN,2020-05-30T00:00:00,18,1,112
190,ALLEN,2020-05-31T00:00:00,51,0,68
191,ALLEN,2020-06-01T00:00:00,51,0,412
192,ALLEN,2020-06-02T00:00:00,49,1,335
193,ALLEN,2020-06-03T00:00:00,42,0,454
194,ALLEN,2020-06-04T00:00:00,61,0,245
195,ALLEN,2020-06-05T00:00:00,44,1,34
196,ALLEN,2020-06-06T00:00:00,37,1,0
197,BARTHOLOMEW,2020-02-29T00:00:00,0,0,0
198,BARTHOLOMEW,2020-03-02T00:00:00,0,0,0
199,BARTHOLOMEW,2020-03-03T00:00:00,0,0,0
200,BARTHOLOMEW,2020-03-04T00:00:00,0,0,0
201,BARTHOLOMEW,2020-03-05T00:00:00,0,0,0
202,BARTHOLOMEW,2020-03-06T00:00:00,0,0,0
203,BARTHOLOMEW,2020-03-07T00:00:00,0,0,0
204,BARTHOLOMEW,2020-03-08T00:00:00,0,0,0
205,BARTHOLOMEW,2020-03-09T00:00:00,0,0,0
206,BARTHOLOMEW,2020-03-10T00:00:00,0,0,0
207,BARTHOLOMEW,2020-03-11T00:00:00,0,0,0
208,BARTHOLOMEW,2020-03-12T00:00:00,0,0,0
209,BARTHOLOMEW,2020-03-13T00:00:00,0,0,1
210,BARTHOLOMEW,2020-03-14T00:00:00,0,0,2
211,BARTHOLOMEW,2020-03-15T00:00:00,1,0,0
212,BARTHOLOMEW,2020-03-16T00:00:00,0,0,8
213,BARTHOLOMEW,2020-03-17T00:00:00,0,0,5
214,BARTHOLOMEW,2020-03-18T00:00:00,0,0,4
215,BARTHOLOMEW,2020-03-19T00:00:00,0,0,5
216,BARTHOLOMEW,2020-03-20T00:00:00,0,0,6
217,BARTHOLOMEW,2020-03-21T00:00:00,3,0,3
218,BARTHOLOMEW,2020-03-22T00:00:00,0,0,0
219,BARTHOLOMEW,2020-03-23T00:00:00,0,0,8
220,BARTHOLOMEW,2020-03-24T00:00:00,0,0,6
221,BARTHOLOMEW,2020-03-25T00:00:00,1,0,5
222,BARTHOLOMEW,2020-03-26T00:00:00,0,0,13
223,BARTHOLOMEW,2020-03-27T00:00:00,1,0,16
224,BARTHOLOMEW,2020-03-28T00:00:00,3,0,8
225,BARTHOLOMEW,2020-03-29T00:00:00,0,0,11
226,BARTHOLOMEW,2020-03-30T00:00:00,3,0,15
227,BARTHOLOMEW,2020-03-31T00:00:00,0,0,12
228,BARTHOLOMEW,2020-04-01T00:00:00,3,0,7
229,BARTHOLOMEW,2020-04-02T00:00:00,8,0,18
230,BARTHOLOMEW,2020-04-03T00:00:00,22,2,13
231,BARTHOLOMEW,2020-04-04T00:00:00,8,0,15
232,BARTHOLOMEW,2020-04-05T00:00:00,1,0,9
233,BARTHOLOMEW,2020-04-06T00:00:00,1,2,21
234,BARTHOLOMEW,2020-04-07T00:00:00,11,0,23
235,BARTHOLOMEW,2020-04-08T00:00:00,17,0,15
236,BARTHOLOMEW,2020-04-09T00:00:00,0,0,11
237,BARTHOLOMEW,2020-04-10T00:00:00,25,0,26
238,BARTHOLOMEW,2020-04-11T00:00:00,1,0,18
239,BARTHOLOMEW,2020-04-12T00:00:00,1,0,7
240,BARTHOLOMEW,2020-04-13T00:00:00,0,0,35
