_id,ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
1,46922,Suppressed,Suppressed,Suppressed
2,46998,Suppressed,Suppressed,Suppressed
3,47034,Suppressed,Suppressed,Suppressed
4,46047,Suppressed,Suppressed,Suppressed
5,46146,Suppressed,Suppressed,Suppressed
6,46508,Suppressed,Suppressed,Suppressed
7,46704,Suppressed,Suppressed,Suppressed
8,46946,Suppressed,Suppressed,Suppressed
9,46958,Suppressed,Suppressed,Suppressed
10,47160,Suppressed,Suppressed,Suppressed
11,47247,Suppressed,Suppressed,Suppressed
12,47337,Suppressed,Suppressed,Suppressed
13,47344,Suppressed,Suppressed,Suppressed
14,47361,Suppressed,Suppressed,Suppressed
15,47367,Suppressed,Suppressed,Suppressed
16,47519,Suppressed,Suppressed,Suppressed
17,47552,Suppressed,Suppressed,Suppressed
18,47576,Suppressed,Suppressed,Suppressed
19,47853,Suppressed,Suppressed,Suppressed
20,47871,Suppressed,Suppressed,Suppressed
21,47925,Suppressed,Suppressed,Suppressed
22,46144,Suppressed,Suppressed,Suppressed
23,46183,Suppressed,Suppressed,Suppressed
24,47282,Suppressed,Suppressed,Suppressed
25,47335,Suppressed,Suppressed,Suppressed
26,47382,Suppressed,Suppressed,Suppressed
27,47388,Suppressed,Suppressed,Suppressed
28,47580,Suppressed,Suppressed,Suppressed
29,46111,Suppressed,Suppressed,Suppressed
30,46117,Suppressed,Suppressed,Suppressed
31,46127,Suppressed,Suppressed,Suppressed
32,46376,Suppressed,Suppressed,Suppressed
33,46381,Suppressed,Suppressed,Suppressed
34,46537,Suppressed,Suppressed,Suppressed
35,47224,Suppressed,Suppressed,Suppressed
36,47616,Suppressed,Suppressed,Suppressed
37,47980,Suppressed,Suppressed,Suppressed
38,46104,Suppressed,Suppressed,Suppressed
39,46110,Suppressed,Suppressed,Suppressed
40,46290,Suppressed,Suppressed,Suppressed
41,46393,Suppressed,Suppressed,Suppressed
42,46595,Suppressed,Suppressed,Suppressed
43,46781,Suppressed,Suppressed,Suppressed
44,46930,Suppressed,Suppressed,Suppressed
45,46957,Suppressed,Suppressed,Suppressed
46,46961,Suppressed,Suppressed,Suppressed
47,47016,Suppressed,Suppressed,Suppressed
48,47114,Suppressed,Suppressed,Suppressed
49,47354,Suppressed,Suppressed,Suppressed
50,47386,Suppressed,Suppressed,Suppressed
51,47528,Suppressed,Suppressed,Suppressed
52,47550,Suppressed,Suppressed,Suppressed
53,47568,Suppressed,Suppressed,Suppressed
54,47837,Suppressed,Suppressed,Suppressed
55,47861,Suppressed,Suppressed,Suppressed
56,47866,Suppressed,Suppressed,Suppressed
57,47983,Suppressed,Suppressed,Suppressed
58,47994,Suppressed,Suppressed,Suppressed
59,46103,Suppressed,Suppressed,Suppressed
60,46348,Suppressed,Suppressed,Suppressed
61,46377,Suppressed,Suppressed,Suppressed
62,46379,Suppressed,Suppressed,Suppressed
63,46731,Suppressed,Suppressed,Suppressed
64,46799,Suppressed,Suppressed,Suppressed
65,46920,Suppressed,Suppressed,Suppressed
66,46943,Suppressed,Suppressed,Suppressed
67,47123,Suppressed,Suppressed,Suppressed
68,47162,Suppressed,Suppressed,Suppressed
69,47226,Suppressed,Suppressed,Suppressed
70,47612,Suppressed,Suppressed,Suppressed
71,47854,Suppressed,Suppressed,Suppressed
72,47881,Suppressed,Suppressed,Suppressed
73,47955,Suppressed,Suppressed,Suppressed
74,47981,Suppressed,Suppressed,Suppressed
75,46915,Suppressed,Suppressed,Suppressed
76,46931,Suppressed,Suppressed,Suppressed
77,47116,Suppressed,Suppressed,Suppressed
78,47120,Suppressed,Suppressed,Suppressed
79,47351,Suppressed,Suppressed,Suppressed
80,47431,Suppressed,Suppressed,Suppressed
81,47537,Suppressed,Suppressed,Suppressed
82,47590,Suppressed,Suppressed,Suppressed
83,47640,Suppressed,Suppressed,Suppressed
84,47849,Suppressed,Suppressed,Suppressed
85,47857,Suppressed,Suppressed,Suppressed
86,47942,Suppressed,Suppressed,Suppressed
87,47949,Suppressed,Suppressed,Suppressed
88,47965,Suppressed,Suppressed,Suppressed
89,46057,Suppressed,Suppressed,Suppressed
90,46058,11,2149,0.511800
91,46150,Suppressed,Suppressed,Suppressed
92,46791,Suppressed,Suppressed,Suppressed
93,46913,Suppressed,Suppressed,Suppressed
94,46959,Suppressed,Suppressed,Suppressed
95,46987,Suppressed,Suppressed,Suppressed
96,46988,Suppressed,Suppressed,Suppressed
97,47010,Suppressed,Suppressed,Suppressed
98,47036,Suppressed,Suppressed,Suppressed
99,47270,Suppressed,Suppressed,Suppressed
100,47280,Suppressed,Suppressed,Suppressed
101,47325,Suppressed,Suppressed,Suppressed
102,47385,12,1612,0.744400
103,47449,Suppressed,Suppressed,Suppressed
104,47451,Suppressed,Suppressed,Suppressed
105,47465,Suppressed,Suppressed,Suppressed
106,47529,Suppressed,Suppressed,Suppressed
107,47578,Suppressed,Suppressed,Suppressed
108,47597,Suppressed,Suppressed,Suppressed
109,47876,Suppressed,Suppressed,Suppressed
110,47943,Suppressed,Suppressed,Suppressed
111,46070,34,2351,1.446100
112,46162,Suppressed,Suppressed,Suppressed
113,46175,Suppressed,Suppressed,Suppressed
114,46745,9,1841,0.488800
115,46974,Suppressed,Suppressed,Suppressed
116,47011,Suppressed,Suppressed,Suppressed
117,47017,Suppressed,Suppressed,Suppressed
118,47110,Suppressed,Suppressed,Suppressed
119,47223,Suppressed,Suppressed,Suppressed
120,47234,Suppressed,Suppressed,Suppressed
121,47244,Suppressed,Suppressed,Suppressed
122,47427,Suppressed,Suppressed,Suppressed
123,47469,5,1749,0.285800
124,47513,6,1841,0.325900
125,47516,Suppressed,Suppressed,Suppressed
126,47521,Suppressed,Suppressed,Suppressed
127,47551,Suppressed,Suppressed,Suppressed
128,47585,Suppressed,Suppressed,Suppressed
129,47967,Suppressed,Suppressed,Suppressed
130,46076,9,1696,0.530600
131,46216,14,1697,0.824900
132,46301,Suppressed,Suppressed,Suppressed
133,46340,Suppressed,Suppressed,Suppressed
134,46365,Suppressed,Suppressed,Suppressed
135,46747,10,2693,0.371300
136,47003,Suppressed,Suppressed,Suppressed
137,47339,Suppressed,Suppressed,Suppressed
138,47342,7,2693,0.259900
139,47369,Suppressed,Suppressed,Suppressed
140,47387,Suppressed,Suppressed,Suppressed
141,47468,Suppressed,Suppressed,Suppressed
142,47470,8,1735,0.461000
143,47514,12,1559,0.769700
144,47575,Suppressed,Suppressed,Suppressed
145,47577,Suppressed,Suppressed,Suppressed
146,47611,Suppressed,Suppressed,Suppressed
147,47619,Suppressed,Suppressed,Suppressed
148,47631,Suppressed,Suppressed,Suppressed
149,47708,Suppressed,Suppressed,Suppressed
150,47832,Suppressed,Suppressed,Suppressed
151,47841,Suppressed,Suppressed,Suppressed
152,47929,Suppressed,Suppressed,Suppressed
153,47930,Suppressed,Suppressed,Suppressed
154,46017,25,6025,0.414900
155,46035,Suppressed,Suppressed,Suppressed
156,46950,Suppressed,Suppressed,Suppressed
157,47135,Suppressed,Suppressed,Suppressed
158,47147,Suppressed,Suppressed,Suppressed
159,47163,8,1746,0.458100
160,47231,Suppressed,Suppressed,Suppressed
161,47264,Suppressed,Suppressed,Suppressed
162,47360,8,1546,0.517400
163,47541,Suppressed,Suppressed,Suppressed
164,47557,Suppressed,Suppressed,Suppressed
165,47848,8,1691,0.473000
166,47917,Suppressed,Suppressed,Suppressed
167,47921,Suppressed,Suppressed,Suppressed
168,47926,Suppressed,Suppressed,Suppressed
169,47940,Suppressed,Suppressed,Suppressed
170,47989,Suppressed,Suppressed,Suppressed
171,46068,7,2850,0.245600
172,46105,12,1928,0.622400
173,46156,Suppressed,Suppressed,Suppressed
174,46165,Suppressed,Suppressed,Suppressed
175,46531,Suppressed,Suppressed,Suppressed
176,46571,76,5532,1.373800
177,46702,Suppressed,Suppressed,Suppressed
178,46764,Suppressed,Suppressed,Suppressed
179,46766,Suppressed,Suppressed,Suppressed
180,46776,Suppressed,Suppressed,Suppressed
181,46788,15,3260,0.460100
182,46990,Suppressed,Suppressed,Suppressed
183,47038,6,1504,0.398900
184,47166,Suppressed,Suppressed,Suppressed
185,47281,Suppressed,Suppressed,Suppressed
186,47345,Suppressed,Suppressed,Suppressed
187,47352,Suppressed,Suppressed,Suppressed
188,47515,Suppressed,Suppressed,Suppressed
189,47531,Suppressed,Suppressed,Suppressed
190,47561,Suppressed,Suppressed,Suppressed
191,47588,Suppressed,Suppressed,Suppressed
192,47649,Suppressed,Suppressed,Suppressed
193,47833,Suppressed,Suppressed,Suppressed
194,47840,Suppressed,Suppressed,Suppressed
195,47858,Suppressed,Suppressed,Suppressed
196,47862,Suppressed,Suppressed,Suppressed
197,47941,Suppressed,Suppressed,Suppressed
198,47951,Suppressed,Suppressed,Suppressed
199,47968,Suppressed,Suppressed,Suppressed
200,47992,Suppressed,Suppressed,Suppressed
201,46133,Suppressed,Suppressed,Suppressed
202,46147,28,3264,0.857800
203,46180,Suppressed,Suppressed,Suppressed
204,46763,Suppressed,Suppressed,Suppressed
205,46941,Suppressed,Suppressed,Suppressed
206,46986,5,1915,0.261000
207,46991,6,1797,0.333800
208,47115,7,2622,0.266900
209,47145,Suppressed,Suppressed,Suppressed
210,47230,10,2029,0.492800
211,47272,14,2041,0.685900
212,47273,6,1849,0.324400
213,47357,Suppressed,Suppressed,Suppressed
214,47373,Suppressed,Suppressed,Suppressed
215,47436,Suppressed,Suppressed,Suppressed
216,47527,8,1897,0.421700
217,47579,12,2659,0.451200
218,47581,14,3883,0.360500
219,47850,9,2456,0.366400
220,47922,10,1623,0.616100
221,47950,Suppressed,Suppressed,Suppressed
222,47977,Suppressed,Suppressed,Suppressed
223,47995,6,1743,0.344200
224,46030,16,3308,0.483600
225,46056,8,2246,0.356100
226,46065,11,3669,0.299800
227,46149,6,1890,0.317400
228,46374,Suppressed,Suppressed,Suppressed
229,46510,15,3631,0.413100
230,46532,8,1905,0.419900
231,46543,58,3654,1.587300
232,46737,15,7068,0.212200
233,46760,Suppressed,Suppressed,Suppressed
234,46917,17,1853,0.917400
235,46982,15,2573,0.582900
236,47326,Suppressed,Suppressed,Suppressed
237,47358,Suppressed,Suppressed,Suppressed
238,47523,11,3435,0.320200
239,47532,18,4627,0.389000
240,47598,Suppressed,Suppressed,Suppressed
241,47847,Suppressed,Suppressed,Suppressed
242,47928,Suppressed,Suppressed,Suppressed
243,47948,Suppressed,Suppressed,Suppressed
244,46039,Suppressed,Suppressed,Suppressed
245,46171,Suppressed,Suppressed,Suppressed
246,46524,22,2326,0.945800
247,46705,5,1583,0.315800
248,46730,Suppressed,Suppressed,Suppressed
249,46794,9,1587,0.567100
250,46798,Suppressed,Suppressed,Suppressed
251,46911,Suppressed,Suppressed,Suppressed
252,46939,7,2101,0.333100
253,46960,Suppressed,Suppressed,Suppressed
254,46979,25,4733,0.528200
255,46985,Suppressed,Suppressed,Suppressed
256,47020,Suppressed,Suppressed,Suppressed
257,47023,11,1636,0.672300
258,47030,8,1636,0.488900
259,47031,19,5368,0.353900
260,47037,21,4333,0.484600
261,47042,12,4504,0.266400
262,47137,Suppressed,Suppressed,Suppressed
263,47141,7,1668,0.419600
264,47340,12,2914,0.411800
265,47341,6,2283,0.262800
266,47346,11,4082,0.269400
267,47356,21,5781,0.363200
268,47456,Suppressed,Suppressed,Suppressed
269,47564,Suppressed,Suppressed,Suppressed
270,47615,Suppressed,Suppressed,Suppressed
271,46051,5,2826,0.176900
272,46160,29,6421,0.451600
273,46186,Suppressed,Suppressed,Suppressed
274,46205,268,25356,1.056900
275,46278,73,8197,0.890500
276,46311,345,20816,1.657300
277,46542,37,4198,0.881300
278,46555,7,2835,0.246900
279,46770,8,2716,0.294500
280,46773,11,3662,0.300300
281,46933,24,6414,0.374100
282,47032,20,3289,0.608000
283,47040,22,5480,0.401400
284,47041,33,6125,0.538700
285,47043,21,5250,0.400000
286,47124,19,4264,0.445500
287,47138,11,4373,0.251500
288,47164,10,3779,0.264600
289,47232,19,2839,0.669200
290,47320,10,4134,0.241800
291,47383,13,2960,0.439100
292,47394,14,8470,0.165200
293,47459,Suppressed,Suppressed,Suppressed
294,47471,18,2727,0.660000
295,47558,Suppressed,Suppressed,Suppressed
296,47613,6,2679,0.223900
297,47648,13,4373,0.297200
298,47868,7,2937,0.238300
