_id,LOCATION_ID,GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME
92,18003,F,0-19,2020-04-17T00:00:00,1,Allen
93,18003,F,0-19,2020-04-23T00:00:00,1,Allen
94,18003,F,0-19,2020-04-24T00:00:00,2,Allen
95,18003,F,0-19,2020-04-25T00:00:00,1,Allen
96,18003,F,0-19,2020-05-05T00:00:00,1,Allen
97,18003,F,0-19,2020-05-06T00:00:00,3,Allen
98,18003,F,0-19,2020-05-07T00:00:00,2,Allen
99,18003,F,0-19,2020-05-09T00:00:00,1,Allen
100,18003,F,0-19,2020-05-14T00:00:00,4,Allen
101,18003,F,0-19,2020-05-15T00:00:00,2,Allen
102,18003,F,0-19,2020-05-18T00:00:00,3,Allen
103,18003,F,0-19,2020-05-20T00:00:00,1,Allen
104,18003,F,0-19,2020-05-21T00:00:00,4,Allen
105,18003,F,0-19,2020-05-22T00:00:00,3,Allen
106,18003,F,0-19,2020-05-23T00:00:00,5,Allen
107,18003,F,0-19,2020-05-24T00:00:00,4,Allen
108,18003,F,0-19,2020-05-27T00:00:00,6,Allen
109,18003,F,0-19,2020-05-28T00:00:00,3,Allen
110,18003,F,0-19,2020-05-29T00:00:00,6,Allen
111,18003,F,0-19,2020-05-31T00:00:00,4,Allen
112,18003,F,0-19,2020-06-01T00:00:00,4,Allen
113,18003,F,0-19,2020-06-02T00:00:00,2,Allen
114,18003,F,0-19,2020-06-03T00:00:00,4,Allen
115,18003,F,0-19,2020-06-04T00:00:00,6,Allen
116,18003,F,0-19,2020-06-05T00:00:00,1,Allen
117,18003,F,0-19,2020-06-06T00:00:00,3,Allen
118,18003,F,0-19,2020-06-07T00:00:00,1,Allen
119,18003,F,0-19,2020-06-08T00:00:00,2,Allen
120,18003,F,0-19,2020-06-09T00:00:00,2,Allen
121,18003,F,0-19,2020-06-10T00:00:00,2,Allen
122,18003,F,0-19,2020-06-11T00:00:00,4,Allen
123,18003,F,0-19,2020-06-12T00:00:00,1,Allen
124,18003,F,0-19,2020-06-14T00:00:00,3,Allen
125,18003,F,0-19,2020-06-15T00:00:00,1,Allen
126,18003,F,0-19,2020-06-16T00:00:00,2,Allen
127,18003,F,0-19,2020-06-17T00:00:00,2,Allen
128,18003,F,0-19,2020-06-18T00:00:00,3,Allen
129,18003,F,0-19,2020-06-19T00:00:00,3,Allen
130,18003,F,0-19,2020-06-20T00:00:00,1,Allen
131,18003,F,0-19,2020-06-21T00:00:00,1,Allen
132,18003,F,0-19,2020-06-23T00:00:00,4,Allen
133,18003,F,0-19,2020-06-24T00:00:00,1,Allen
134,18003,F,0-19,2020-06-25T00:00:00,2,Allen
135,18003,F,0-19,2020-06-26T00:00:00,1,Allen
136,18003,F,0-19,2020-06-27T00:00:00,1,Allen
137,18003,F,0-19,2020-06-28T00:00:00,2,Allen
138,18003,F,0-19,2020-07-01T00:00:00,1,Allen
139,18003,F,0-19,2020-07-02T00:00:00,1,Allen
140,18003,F,0-19,2020-07-03T00:00:00,2,Allen
141,18003,F,0-19,2020-07-04T00:00:00,1,Allen
142,18003,F,0-19,2020-07-05T00:00:00,1,Allen
143,18003,F,0-19,2020-07-07T00:00:00,1,Allen
144,18003,F,0-19,2020-07-09T00:00:00,1,Allen
145,18003,F,0-19,2020-07-10T00:00:00,2,Allen
146,18003,F,0-19,2020-07-12T00:00:00,1,Allen
147,18003,F,0-19,2020-07-13T00:00:00,2,Allen
148,18003,F,0-19,2020-07-14T00:00:00,3,Allen
149,18003,F,0-19,2020-07-15T00:00:00,1,Allen
150,18003,F,0-19,2020-07-16T00:00:00,2,Allen
151,18003,F,0-19,2020-07-17T00:00:00,2,Allen
152,18003,F,0-19,2020-07-18T00:00:00,2,Allen
153,18003,F,0-19,2020-07-19T00:00:00,2,Allen
154,18003,F,0-19,2020-07-21T00:00:00,2,Allen
155,18003,F,0-19,2020-07-22T00:00:00,3,Allen
156,18003,F,0-19,2020-07-24T00:00:00,2,Allen
157,18003,F,0-19,2020-07-25T00:00:00,3,Allen
158,18003,F,0-19,2020-07-26T00:00:00,2,Allen
159,18003,F,0-19,2020-07-27T00:00:00,2,Allen
160,18003,F,0-19,2020-07-29T00:00:00,3,Allen
161,18003,F,0-19,2020-07-30T00:00:00,4,Allen
162,18003,F,0-19,2020-07-31T00:00:00,3,Allen
163,18003,F,0-19,2020-08-01T00:00:00,5,Allen
164,18003,F,0-19,2020-08-02T00:00:00,2,Allen
165,18003,F,0-19,2020-08-03T00:00:00,2,Allen
166,18003,F,0-19,2020-08-05T00:00:00,4,Allen
167,18003,F,0-19,2020-08-06T00:00:00,5,Allen
168,18003,F,20-29,2020-03-19T00:00:00,1,Allen
169,18003,F,20-29,2020-04-02T00:00:00,1,Allen
170,18003,F,20-29,2020-04-06T00:00:00,1,Allen
171,18003,F,20-29,2020-04-08T00:00:00,1,Allen
172,18003,F,20-29,2020-04-10T00:00:00,1,Allen
173,18003,F,20-29,2020-04-11T00:00:00,1,Allen
174,18003,F,20-29,2020-04-12T00:00:00,4,Allen
175,18003,F,20-29,2020-04-13T00:00:00,2,Allen
176,18003,F,20-29,2020-04-15T00:00:00,7,Allen
177,18003,F,20-29,2020-04-16T00:00:00,5,Allen
178,18003,F,20-29,2020-04-17T00:00:00,2,Allen
179,18003,F,20-29,2020-04-19T00:00:00,4,Allen
180,18003,F,20-29,2020-04-21T00:00:00,2,Allen
181,18003,F,20-29,2020-04-22T00:00:00,2,Allen
182,18003,F,20-29,2020-04-23T00:00:00,1,Allen
183,18003,F,20-29,2020-04-24T00:00:00,3,Allen
184,18003,F,20-29,2020-04-26T00:00:00,1,Allen
185,18003,F,20-29,2020-04-28T00:00:00,1,Allen
